,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102014,3602.0278524066107,4864.4365255132525,4261.061894866484,4130.4254768207475,3840.326994898871,5015.939176961085,3538.7061291917153,4828.117703866271,4370.431947201258,3789.3991523648665,2180.3279450481177,4292.699475081759,4101.505749846363,4053.250387481253,5185.546229766454,4611.997369853206,5645.322985990315,4238.047867554829,3955.5858932127567,4412.8922972514865,2597.037090239978,3472.524062530214,4280.083020324474,4688.955224769671,3057.6569871901884,4532.404188894636,4469.26278063301,5152.813494568236,4933.37357628638,5289.470129493262,5155.256245833205,4849.293273315198,4230.41888482317,4025.4498189817095,5558.436034726978,5559.647795810258,5246.923341635109,5122.538888231373,3550.9965103709483,3452.682613762119,4912.925787108627,3768.7608356986484,4895.957993520609,4119.724054542102,5047.233550369613,4426.411824411949,3467.2005253764273,4089.610046127943,4117.380177917825,3976.4161687478536
F112014,4164.769220799558,3362.3606160998625,3548.98635285185,2478.9020449165064,3784.0017152033115,4390.258088432813,3381.1842935091126,4190.762863373149,4012.4763504927832,3478.9388717200763,4030.108601745049,3416.7281244092965,5383.91381058276,4934.607711740205,5071.136279950829,2883.5652629440165,5124.373075765645,1934.9510362352648,4193.435417606137,3460.636046307329,3981.77497601057,4410.542971287355,4234.979182106624,4678.270677715737,3101.3155750262276,4504.101638784321,3319.2643186862497,3718.8666612226043,4022.447261133292,4393.392125408178,4380.37510135345,3894.614303663084,4527.586338795465,3759.951799063002,4697.848814108181,3223.164827827277,2513.6933028184476,3836.972463523686,3883.3632645177813,5404.626804366445,4749.440958875036,4197.479587168561,4170.377784520024,3377.1388347365946,3964.0324968071227,4370.235856209037,4481.422449224018,2989.6787155642123,4125.541644214212,5046.024505094014
F12014,3350724076.5066943,2784383707.5802593,1433197575.5216713,495916328.0673204,837903784.3598089,1087904653.9937692,3147259928.7946725,1065819933.4410914,2077150757.4085546,2154997382.8605423,1337261181.0824249,3904070361.716648,2354214465.1889296,1672021070.3005962,2435852771.1560535,3099435258.846194,1253232795.2192237,2374945510.095359,2262841484.554491,2603205686.108076,2625837401.1925764,952673151.2493945,5296501754.546705,1400026061.6499562,3366440251.365607,1489172598.6849258,2620112637.043078,534906569.63304216,2222806778.9545975,1836927678.2611067,3149677120.1131053,4981621943.827913,2427502961.6520395,2083717437.3362372,1395702115.1087768,1793107563.8530397,2008836238.5309997,806430489.5972022,2079637089.685348,3359586121.6252537,2480140361.459512,1066965246.9896634,1111416074.5335386,3043230346.3444996,2986639155.3787704,1889399440.9901114,2997843031.289034,3310697703.1134553,631192644.7052096,2833732343.428957
F122014,1205.8024657276785,1205.6821960315199,1203.7354171201334,1204.1818873132056,1203.6225919764142,1204.657778039837,1205.2636652330286,1204.6226254842636,1205.2295349443734,1203.3869521680438,1202.1466216205963,1205.755627021805,1204.261037081647,1203.543633344989,1204.0992093578825,1204.1726959633631,1205.109920135121,1202.9156490218702,1203.277379701711,1204.3424930423628,1203.8347989804872,1203.9554611573706,1203.9610524161358,1203.783757549057,1204.7471291316401,1203.3529494404763,1204.6761556220574,1205.2630467628385,1203.132283145499,1203.9862716234984,1203.200907650111,1205.1845863301771,1204.8448017862263,1203.4309148256762,1204.3472514501461,1205.9488059381247,1202.9869254968226,1203.9964834154134,1202.5089214436462,1204.0581222665064,1205.7748616475465,1204.7805720393924,1204.930668167002,1204.8787300713389,1205.6019742832443,1204.9648350904629,1204.6851404238143,1205.470125716147,1205.8304501536534,1204.5059438855285
F132014,1306.1546609500674,1306.918225336392,1306.3974212062305,1306.2381647156249,1305.8324901874894,1305.0740523933193,1306.5350725518044,1306.5862423523497,1305.8186143429202,1305.463285843476,1306.694772612546,1305.4541685012903,1305.4651848566452,1306.6005791760745,1306.8462857257512,1305.6200863954746,1306.6298173452803,1304.60957464712,1305.7115975360196,1304.6047020683766,1304.6449523940123,1307.0424109967423,1305.7583331959413,1307.7769881302531,1307.2076837755344,1305.6364561457945,1305.267752959162,1304.4862678327597,1305.817752090837,1307.2554627597324,1305.543804109624,1305.9191864811726,1305.5297558502373,1306.2440883695547,1304.913842023335,1304.7217451552333,1305.692593424064,1305.5473570638715,1305.715200327249,1305.840784443974,1305.5999007577373,1305.8554041057273,1306.744814435006,1305.8621874145376,1305.9829023386117,1305.9550423533544,1305.552412878584,1305.2999132269329,1307.1577820402827,1306.2891866619943
F142014,1553.7893553815143,1490.913481869005,1534.383779880881,1511.5477293957183,1564.7839923086253,1510.9032025494305,1532.4067068356228,1544.0931031142509,1553.988761175396,1539.6786735821586,1528.8487992749333,1544.6999923846568,1565.6507517539258,1535.5108247013873,1552.963849267176,1530.7862614291198,1603.8136188511226,1537.1375329503524,1522.272063722772,1544.4742875273485,1521.1050304830328,1534.3215239669728,1552.0141903839283,1536.0600801805454,1532.6447011618193,1545.3555144105337,1547.176825012099,1551.4371325395177,1541.4678128775447,1591.71649181969,1531.7131014883632,1529.691971818853,1525.264742823415,1555.0338068856527,1542.887588677977,1511.379597908956,1547.5129666495784,1584.0315156735464,1555.5426221321309,1558.268198345762,1524.7615279130514,1514.2162082907444,1529.9332151563963,1509.2008979183106,1547.801585050673,1557.431249791305,1523.7060684787473,1506.0858187738395,1507.9933479023366,1515.0641736017244
F152014,137616.46638001726,331302.0102309347,357551.75000799965,196011.92565293025,85667.50389272651,43713.04848674625,161920.96100137784,151250.68433171653,307951.40768462385,92523.17902887893,138085.12851287192,82714.52692312331,394180.5098910038,356068.11830035393,435645.5414428627,530831.1003732992,148337.876402315,161790.29901677163,185036.94484949138,505789.90744521556,78649.71972508557,134789.4164577967,48502.21333615013,535973.0357691215,205081.74474302202,259542.87884467273,276301.0875502888,258108.4499868346,106479.26934294938,105396.37329868696,171630.45038666239,159601.72611372525,300165.2480217302,226867.38089445746,44010.5081104043,150207.12799596408,470583.4587467588,206716.84715436253,405838.23559624737,349160.3827076189,140542.84772834863,101232.54618467654,323487.93346608296,1083433.1757513818,9460.47191685086,38502.8260335873,222769.56623147856,150497.52249770108,63597.94869522321,255700.0107870182
F162014,1608.5642744802958,1609.4642103562026,1609.262750117477,1608.9992596709292,1609.189981395532,1608.89375274575,1608.9375630464353,1608.7391527523853,1608.686558401987,1608.5476351650134,1608.7502678337905,1609.0101240478482,1608.8918883409683,1608.9593766952958,1609.1062819903575,1608.7890348587632,1608.4870843073984,1608.5962569359094,1608.9833190666434,1609.2992281839481,1608.4835202155487,1609.0042214776286,1609.0087285912853,1609.2078090363916,1609.1359610999461,1608.7720431366308,1608.892107313361,1608.8939834405423,1608.8240375233347,1609.3403264056005,1608.9405226587937,1609.1747439508945,1608.772534920343,1608.3289189614056,1608.7143548492638,1608.466306101807,1609.1589081558309,1609.092930455568,1608.8272726317668,1608.5884433600716,1609.265337583098,1609.0891110893656,1609.4902150040475,1608.6705474263358,1608.9337936499849,1609.1228971850385,1609.2344286235234,1609.2617412930304,1609.0030701070243,1609.057371173909
F172014,37916373.34505561,52080523.98092916,43021639.16725521,183949655.37593773,48476337.60653938,23412996.69135205,62222356.71324726,63842093.498529695,41611345.07410727,27411238.478374545,75573952.70506503,74984927.78665218,22370552.630540464,75494840.62604576,210446056.6800029,33381573.76322918,43364963.098195665,70028982.86755037,70495529.26361309,92586246.1808334,37011606.4536623,23855395.243734654,43147361.69743672,69658989.39513692,34166449.87381141,60603801.93265852,41309601.76282397,47358450.15646574,30271554.031707503,64490490.73415273,28684029.851457898,23915582.2592738,51482329.21206299,20154771.80144314,29275736.46782554,67396295.34656756,92221687.18850178,15767589.347943617,102281634.0203268,44040022.53790032,20482103.07787867,58052929.26241204,56136351.65166132,121312064.5318043,57648432.05573204,52065237.26994398,29469124.491773993,56722243.40620985,14890131.884798218,24183775.99180172
F182014,964790828.1861117,3175986475.2987275,1622944888.2130532,1804451199.8024476,6266531328.297557,585158860.1973749,96772012.70528881,2692825763.690021,1398643466.3059204,1308018643.0959857,1976188751.6500287,1850885012.591014,3789007694.1175966,5072680549.239148,2670873404.3133254,3978678390.369395,1200951639.9181097,4349474435.625123,2588706132.5462947,4107092127.525096,967014933.3563291,2162559011.91914,3554998183.5341296,1552366761.5585053,1977215502.4599059,5058589138.607535,1399753513.996601,1266330522.4047103,1258064246.384974,377980699.5306669,3636884911.045819,1572386854.3955681,801823242.2772871,286112744.72212654,1894810698.8231974,2390937564.972612,2462052889.3702765,1070320325.0229374,1030372583.7645652,936230226.8542678,1925020348.5732484,6324257956.984337,7527348689.265323,1854073780.350599,7146266747.20533,1334257454.9439747,4573872162.946837,1812009727.5610116,3470747045.2334313,1057629456.1380676
