,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102014,4391.012085422157,3778.268299116179,3945.5815473314997,3597.6539211039344,3518.0834368944825,3406.8324021481712,4007.171655712924,4337.360372089603,3477.2086362363607,3515.4774967629965,4089.8686720674414,2738.685012899423,4524.376578284155,3640.633581104971,3151.525486012788,4522.581315569227,4336.883845994877,3127.5460818060546,3426.970088340432,2422.886405260473,4141.262095794922,4342.839773877618,3813.963652445291,4312.053727848081,3747.9661227085444,3653.2150285227635,4351.657497937205,4342.2986464291125,4209.937823978629,4251.001922432828,4125.511338384123,3799.5430883261442,3191.836689690497,3023.4480964250797,4215.802763066236,2639.7771200686784,4191.497812615164,3138.545451723663,3706.7032912106088,3716.6774583086135,3690.612625966147,2669.388839964029,3549.2070840245487,4256.324793809339,3350.5341334434306,4565.559067139012,4225.935138263124,4435.796176617958,4420.379648412014,3718.080369876652
F112014,3513.0411888411063,3051.3623569402116,4252.656186557223,3593.396664752616,3631.095848194618,4077.700698979628,3364.8642318539114,3279.26795586758,4234.110295739576,2080.6251545400264,3312.3462419086636,3032.86535890956,2800.709916629832,3874.2338517108647,4260.155621188162,3455.0257807206335,1997.9535977539808,3659.2875929089514,3505.8385620346844,3957.69717229881,3866.0379104446565,2900.492208969463,4099.44439968519,3284.2015711025733,4198.158238358461,2945.596822058892,3837.6021798299516,3941.4522911671083,2751.610735345561,3497.8027490993873,4497.95109358708,4085.612709865987,3205.5494877572164,3950.5924094108996,3271.1021472429975,3345.9099059397413,3639.738099468159,3530.401924134282,3823.1480372283568,3444.9071493315514,3241.2595221583515,3620.8156598831656,3843.3615990300605,3337.5223722103046,4040.6321531963686,3975.579228372697,3030.3152465315598,2259.4030023454834,4005.9734493207734,3263.360620112915
F12014,708442855.7223877,1324577930.9269788,800207659.0600058,1017163146.170711,609006357.5937399,749103277.9965267,738816875.2075288,429900454.6275053,775771577.5024424,471873475.61682206,857756441.0815498,478268349.031855,594095894.4386306,838453841.9731917,624253973.797172,807400379.7890089,654854283.1990324,625905607.0090262,319921204.73923254,720940104.4876456,947513984.5249056,227904175.59482807,1358806363.7839215,653008846.2950258,417855964.9203642,972868152.90293,416061444.8982252,716079020.5085522,769791023.8211334,346219217.4667601,757842077.1937733,868786532.0473773,337345949.5928743,303961255.4466123,678361557.3722283,732858158.918329,521345666.27101976,860391723.1302972,617282553.7931216,927967628.908987,392587396.3639866,622988085.9594405,325278045.73591065,807956021.3903656,1218528171.5527825,1192437255.7204998,541008325.5526123,900486368.2919872,656436137.6961379,592647426.2073518
F122014,1204.5796597402405,1202.965965128448,1204.0144042201086,1203.9480358615217,1204.0805635684105,1203.0951878023866,1204.948028446809,1204.3534031237139,1203.576957452571,1203.2165792944952,1204.030109694881,1204.771102938545,1203.4417424537357,1203.7785623839898,1203.9719647480213,1203.0455873625874,1204.2693235705492,1203.0061342591762,1202.7504407756892,1202.9640528196496,1203.6331212554785,1202.3708750161181,1203.7590767774036,1203.4397571798636,1204.2253389249468,1203.4991594235712,1204.568313201786,1203.8614996862204,1203.2208233986173,1204.0790711181326,1203.6759970778758,1204.7364631311007,1202.8168006913702,1204.8907089421903,1203.6050881849358,1203.6945781084105,1203.6621365897565,1203.3204932040248,1203.4560517331836,1203.4237792121894,1204.0195760084334,1203.8715328371247,1204.7248493410518,1203.6254176223138,1204.193088096822,1203.53836583017,1203.5391125014698,1202.4344905633864,1203.8181562498282,1203.302091762189
F132014,1305.1353816641292,1305.7017013509426,1306.598080759921,1306.50078478523,1305.9372288613918,1305.315749939758,1305.9542603845669,1304.8004314507389,1305.512504988707,1305.752006508936,1306.1736199436482,1305.1461063010645,1305.4102430537082,1306.2173495747134,1306.788483483338,1305.4101829220483,1304.8870216498328,1305.4167329664524,1305.509115678589,1304.5541638100362,1305.029201046642,1305.0413831403896,1306.5448830392063,1305.3802979254463,1304.8999023443776,1305.0507014952539,1305.6977457275148,1306.9094409512008,1305.5050570957524,1305.7618139222354,1305.3916582882762,1305.9641411628581,1306.0152010385527,1306.6192326497253,1305.1670644331593,1305.0154680674448,1306.345664548884,1305.8468258426317,1305.7257984431599,1306.1839356127675,1305.165711758764,1305.49758436979,1305.5297287519545,1304.7470301364708,1305.9344702035214,1306.3036683239866,1305.6489368424918,1305.9505124912039,1304.903216034227,1305.7749911472188
F142014,1507.6026383357,1517.0303790431763,1499.3728678888044,1536.360794805037,1530.4001497164495,1512.8569142742153,1517.100018986859,1555.7530496808738,1500.6324742024667,1549.6429833170323,1512.1416180980975,1533.5651179481952,1475.3019454678463,1504.5738260280054,1525.9288390083755,1522.1768142979386,1551.649580309454,1507.508111622844,1525.62507436062,1491.8360481101663,1548.48213112764,1521.3437165035925,1490.7432419622164,1538.43576191108,1503.1428458311245,1509.4094198324035,1525.3202522922836,1506.4866613372358,1543.1547877903918,1528.678026960389,1512.482890513599,1520.8838465861268,1527.324926555997,1505.5605062588434,1506.4016563601983,1502.3632406478582,1487.7125736552348,1529.3195751674898,1524.6702020954347,1493.3968605731145,1517.3952417859964,1503.0805149371488,1501.329366579146,1519.1280943125962,1489.5710672214368,1508.0944627422057,1495.8918037484414,1526.2881057913737,1520.8950070400274,1501.279059981539
F152014,326967.42685224564,570334.5589379091,492075.9526317298,440714.0659048794,734900.7648453945,911082.8067176343,479216.8110666575,246073.75477706804,744260.832263945,257321.61814971708,68908.95655247272,466882.4012946212,1028684.6550806405,142285.33077175575,584285.5532059539,345830.80024409114,208030.67641015083,1161013.1127685911,291875.5407769809,310045.15382686944,645655.9715711846,135176.9317327976,522264.84791461105,110226.94050448664,403514.6970581693,755167.8030741094,378670.5555823707,661691.6338101015,305616.02273161284,638527.7222388106,386374.103859443,378109.5244188744,389134.3398867109,529592.2444402652,393898.42142606026,205927.9083952391,823190.4089261888,747696.6386896968,437142.43456819386,227884.02031119305,340884.24569385604,181412.1415049058,160127.49542675333,306023.1771964964,664026.6553075603,1087900.7203709413,941484.1252100465,646988.3926156638,274965.6175217293,246856.1398602793
F162014,1608.9574358568727,1608.973893887244,1608.8005433476003,1608.8005767756263,1608.7140743023388,1608.601466604872,1608.8662060745953,1609.090372716764,1608.7424776213672,1608.8047145035048,1608.9921425602681,1608.8301750208416,1608.9088229993497,1608.7224554019153,1608.9881026505655,1608.3323623073097,1608.9057781156703,1608.9177121050423,1608.8703701779325,1609.256278169996,1608.658675144441,1608.8505897363389,1608.583764451861,1608.399010604754,1608.7886230654103,1608.4710075235355,1608.871068845712,1608.9935943414735,1609.0100373447222,1608.9889419568685,1608.7314440599089,1608.7067219464548,1608.7810525317882,1608.9147053468434,1608.721555086763,1608.9672519386793,1608.6263941909583,1608.8147629115863,1608.6883696108641,1608.6858981655314,1609.0169316739511,1608.280840060298,1608.592421902097,1608.980722776032,1608.7476173245948,1608.5884852073596,1608.3906398246654,1609.0628011877739,1608.7043909439158,1608.8512942011846
F172014,12417984.87143907,27372375.15782851,7132626.561935118,4006257.838256626,22209381.323904045,19369438.089558575,57535968.74359102,14818736.333464034,11703137.242247704,13593349.251237089,20647661.285285123,36946835.96382028,12204095.366021967,28649009.31957118,13869205.46718134,10918093.05970595,4590018.6270501455,23743267.09536407,60722584.14727605,11807648.92093303,32770459.784345806,37648723.401824735,23315011.67086201,32199276.287820887,31126649.81732055,25630691.74602063,25318993.880622957,16565761.823233401,26062476.05838432,3847462.260497,37558652.095891,17237135.56570917,14964580.765244005,18908537.855050255,22965345.94076363,8490571.695535742,10766438.07593488,38999893.37500574,23284052.39142551,9748598.712768674,38574680.070619956,6183947.739943137,9833534.236082345,9880201.64202701,40271964.82550188,19605428.056456976,46524033.728311926,8880182.997922903,71876370.21584721,46715959.113441795
F182014,1344045975.403839,1224077677.0691907,1472666899.0390282,480910702.20358706,1090453689.8475783,1301899487.0515687,600342132.7527386,977389289.5520729,1075272810.7318923,1267482287.816742,1219024638.9720635,430778255.19098085,538168977.7818283,517559766.0150338,1342773227.2834666,985500346.6428465,1664267583.7142377,1360142343.15229,661491784.6720295,1452858792.3761573,613882253.4463986,958228746.984994,408315371.5398403,446514454.5485544,906228592.5575261,1965635260.4256608,1113741807.1614165,1060398611.418908,290331574.573036,211271285.26031262,946093261.764914,462421498.70500606,1160194357.3113425,704038579.0846112,865306061.2387044,521654450.1169652,682007553.609969,425799308.73003,420814263.4408697,1261045353.8616729,221661643.3427803,959979266.4106879,582127479.2514858,593451594.0198224,1033226917.7037184,798930274.7637118,1267490319.1850932,2336992652.056021,220608869.78753722,897017597.7280627
