,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102014,-1691.536666619777,-987.3224773146867,-1221.8657515714585,-790.9135125712019,-1232.7166485108846,-449.52377474804234,-1044.09863756085,-1111.122002650347,-1034.6683583585473,-794.6932151348392,318.0578756074683,68.16913535421554,-768.7996170726019,318.1285367478886,-856.9872887270394,-1136.052654143581,198.57534882809523,-434.57504705751853,-1381.249564310916,-1309.5034646445893,-1384.87609729008,-959.4177650808579,-863.2554514661715,-457.34572052305157,-1052.5805814479263,-1449.602855112049,-2011.727120280706,-595.7400772493766,-171.5925719267816,-1573.9227245258226,-2043.743812042263,-1149.0820585326765,524.2641067180393,-1829.4775727139804,-546.8652626730436,-886.011544013556,-298.7528090788801,-1532.2975784565133,-683.9556395500385,-631.307688685818,-1678.7398577634376,-2117.506464503018,-1052.5485526802786,37.89083580653096,-590.807227590165,-1008.1438591114038,-1766.6698141676206,-854.6861642204603,-1513.0159804823616,-532.7692759834663
F112014,407.27856561719636,506.57354764266347,929.9028585546712,45.84545578229154,499.1750789721136,918.9057109668229,1338.0597167442183,1023.4076370624352,-306.61016352001025,1075.762467545781,707.3614686388264,404.2508744505776,464.2715877855244,-1412.700696644757,-279.2533812858619,1001.5912136965453,-879.0885905485611,545.2416731609392,617.4288455174956,-338.5768597119295,-264.9909677202613,-189.3452012466023,-210.96131837388748,-337.1617073169982,143.36852179744528,638.4710971936074,-36.62431976755215,951.6301906927929,-739.5703693757278,-17.530011791955985,898.3087380795332,-1921.571742885173,318.3972707629546,741.4747452445445,-622.7588152991411,342.85701135002273,650.4893598586077,292.28493691014774,1291.0942419925113,1243.695057957977,391.08006487168313,563.1302208535581,-19.89552822600126,-137.95978540656688,21.24445139503223,596.3381044481412,502.66873811520236,789.2911783267609,1672.1896278675986,-200.2652631309229
F12014,101186148.77711996,257924292.92103404,101546110.12973364,128735485.83724914,222044637.87577784,69016786.80972014,273739900.06450284,145583897.1568907,208635432.57186794,477688805.79064035,473140379.9051934,81043311.964537,231823728.148489,96485654.25539574,266666423.25029907,383396352.2146254,175440801.9564113,196815902.95752043,606103399.089529,202165244.5393914,46284773.346240714,109168541.19446015,150427755.0520946,164075613.0609544,193363554.30098996,271142348.51295185,273115621.56416667,209651807.07750857,171446945.13683638,251636215.19889107,114381875.15859923,198942049.46314862,802638204.7263633,88608335.02556323,168203403.92197207,449837993.9240401,274260402.55767137,99701970.20130806,124159978.26529509,179802468.13001984,172429968.31787613,214051408.6354828,165489142.68322036,166398605.23482385,100061001.47913384,193418187.74133372,89758252.64804684,121949939.94695865,70702932.15187745,256207248.63106823
F122014,1200.6687445890934,1201.38522070865,1202.0344112687817,1201.5313067545235,1201.1112056197585,1202.2154674480546,1201.1538929592682,1201.2998746644453,1201.149506582577,1200.8026817534562,1202.1630757945616,1201.7864477950359,1200.9087940637207,1200.5801066152044,1201.468720189535,1200.9946761008796,1201.5520273988661,1201.8965780416397,1200.797535935708,1201.0357660318875,1201.8478466480424,1201.8393493599851,1202.0662941616135,1201.8576199060665,1201.771558361798,1201.0231641650248,1201.2776515319736,1201.7840291876103,1200.7738504004337,1201.313741373482,1201.6835061984489,1200.7814344827614,1201.1742481833671,1201.3303645583853,1201.069822595799,1201.6157580559648,1201.6571716443113,1201.2052642939436,1201.9378588436691,1200.9656795523103,1201.1767054558802,1202.1677449184424,1201.3090403264544,1201.368120796799,1200.7247695019835,1201.1173381525455,1200.7521153890482,1200.8269233688154,1201.8932293329888,1201.491660268327
F132014,1303.0409160310194,1302.8628970105653,1301.93207666673,1302.7586008292824,1303.0019346608663,1302.8730562649037,1303.54726417348,1302.8824444016468,1302.7484019703588,1302.7749306410337,1303.4805110407417,1303.0193995876477,1303.224395625869,1301.764780552543,1302.974699532128,1303.6606321268293,1302.1248874442902,1302.8426557382018,1302.6771471856277,1302.547334794482,1301.6471091161527,1303.5583891696897,1303.2726114945358,1302.1132232674865,1302.4253134713608,1303.397963803913,1303.1040413035569,1302.652491209921,1303.1373173981622,1302.7276869920236,1301.8874179563122,1302.4161402734665,1303.1878414697187,1302.4715819526612,1303.1685960951181,1303.0188905572952,1302.8999943345648,1302.9546608079745,1302.4159812583882,1302.8027606133942,1301.6871964257925,1302.5139339738685,1303.1598868010842,1302.9961216318043,1302.2591842921734,1303.3053249490333,1302.9666928266965,1303.6218273605532,1302.528013271549,1302.5825328641492
F142014,1429.441363032837,1421.4363312381793,1440.3508935700067,1420.544291140685,1427.2950296591073,1425.8117316119017,1426.3354226902816,1434.9329784882045,1435.9352880343365,1429.1477232716986,1427.9209993198835,1426.2339636852075,1430.8692329675946,1434.6514159157812,1427.8164641551484,1426.84973359851,1448.0753862046765,1430.6120767856899,1440.0426766190246,1432.5466860112497,1425.918145495934,1425.8035469779957,1438.9458585839911,1433.207558769532,1440.216059404253,1433.016460718228,1445.956455371038,1435.3869309040933,1422.1683634013561,1443.0115493762955,1427.7796748748103,1436.9015093008704,1439.0376564555147,1431.805655705824,1449.7253644771,1434.7078120466606,1445.5722218387014,1422.88778188797,1436.6338137949263,1444.908330658351,1450.7441299119932,1423.7471417258955,1439.2089949006363,1438.0825819814668,1442.4297617363059,1415.2014813508197,1434.6262614427706,1429.6507390343522,1434.1274003328151,1437.28828935824
F152014,29498.988414877742,2506.8258333983513,29795.74770797034,8991.802100952362,74478.20812195855,21828.75387668883,26243.645653990923,13394.64623482986,44659.810886199906,47973.97460998422,12861.737561681592,39666.061261488685,28467.557474533176,10687.84799744489,6041.854821520007,24493.82106253644,11443.294745549107,62609.32477394548,98258.38222675952,16177.385925428227,5705.80054671798,162367.76635875035,4287.158779788371,36445.15689693968,132865.3569771099,15609.29655981192,6113.060686896475,22292.548423246495,118373.69624650419,25305.975636341092,15539.39318237532,6531.885357542275,26138.613797305756,136713.9560815946,6910.495486822723,27105.123434397545,36638.55966137166,8648.895722503286,2207.8409286777764,7659.2087373855575,70156.93796794054,19887.466781093877,24832.097332668553,6753.997852543611,25995.732000614516,53086.548816203365,5845.341938194719,6848.2736537114,64925.400439043144,16551.66002638219
F162014,1607.952580988412,1608.0976038076271,1608.002234744033,1608.1943947154837,1609.103676785948,1607.8187693175742,1608.177116272116,1608.542233110175,1607.9809750383588,1608.3238089625295,1608.0605004640868,1608.4627660619356,1608.4799476797039,1607.5919764490284,1608.306580820908,1608.0884504248645,1608.5804543811535,1607.4381669427864,1608.4404442060804,1607.5621466699924,1607.7341152648553,1607.5386607786172,1608.2255967784818,1607.6265054458916,1608.2569633678404,1608.7286672746518,1607.9510380808167,1608.1365179110346,1607.8361109804232,1608.298704596038,1608.4526968853643,1608.0507603364917,1607.5631886310107,1608.158688682901,1608.5024514410884,1608.2908314058352,1608.4242178343854,1608.1861662460096,1608.2374195931973,1608.1920088484596,1607.914922345013,1608.816383206787,1607.9091078206882,1608.3778595601893,1608.2002044364137,1608.3809289971678,1607.7731036718003,1608.7800679709824,1608.604480614733,1608.1383722837143
F172014,4260640.3079433,21495867.74432165,6551147.93663977,20437462.70805621,20517280.748833958,14958931.759875087,15074602.231484052,18671319.693523906,7634248.531681492,24897823.250207,26544866.34973554,19769651.96542578,6602200.206818657,6294237.609530337,4927704.879951052,20214203.28466293,7428658.101647093,11710007.688921163,8162998.909692403,16643827.025774753,9525818.03699276,6414838.317617413,4317453.913721147,7481997.447696267,16408645.638377978,23476035.487413798,5618823.4979115715,14540363.07973953,13592371.87264203,6649647.595253694,10385471.52555867,25157710.994094256,5682313.990235351,13106915.89953237,29922097.43409757,4681740.942121165,10359217.445013093,2009446.145994382,3036655.2365600676,18616826.36854375,29268547.035909243,11510885.390860427,16740887.160530506,13887455.851133367,27753171.18109405,13213908.98413698,7902599.701927971,15679562.335758362,26004893.216850612,20069936.504635148
F182014,70444428.30394898,41559446.661013275,54365534.846112154,146776999.71627638,113849713.44870634,288491284.6488115,412672196.09920704,48753808.82926015,69652926.83644669,227954643.112373,173002476.91442588,443910774.2927233,219185637.13197416,264125430.43050063,43403514.55304861,106228228.88531269,239947833.1992644,284311733.6785551,141137835.47423205,131295424.09118718,148901201.5645901,111730434.22444732,140536092.5430269,379568884.639041,254384922.63938615,206494289.9751802,123286328.67890687,97313894.96726613,133069694.50110412,238854273.49466085,172595747.69970435,99223721.56319205,288236258.9180335,115085685.59565364,63873490.52642638,121812412.47287159,109936159.43756801,134988831.11748576,133555773.94651836,75797442.86511487,71014414.51414484,244841322.48561874,198956906.3191431,118736972.9958357,120134824.21273445,193116315.01840144,188412207.2314984,80562839.44408326,359140539.9989667,341495797.25299525
