,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102014,5570.027063625364,6087.885018280634,4637.609971131227,5756.420842755951,6849.339683677454,4677.363248401591,6288.923741179676,4331.368804973312,5877.464190940472,5010.369033538878,5486.800083318215,5588.615630919379,4968.851166094177,5544.7806820092965,5378.752277892087,5950.708668355261,5052.719958040887,6935.823297111123,6792.088307500866,5579.924659818309,5846.838349121603,5657.749954825018,4364.667179927497,4690.196063793552,6851.36636792179,6324.162954882341,7010.878902096504,4774.554020368494,5456.221652760143,5348.853133923381,4302.399811630405,5590.886640971691,5821.945290194328,5239.42745664896,5133.804359445336,6305.229057880049,5763.081898938551,4720.335719212157,4381.540035823527,5278.959082665731,5154.791979561309,5269.135050985107,6172.42361799601,4363.295049753613,5334.746546302558,7002.214465262371,4745.27113257891,5671.119541500157,3213.148507392363,5601.342925379597
F112014,6709.27930991587,5846.976954648784,6584.045640484534,7512.874736688778,6844.27657720797,7679.47433767399,6540.135398050356,6753.689374030396,7011.080493127922,6867.004504784282,6081.0140392633,6930.177660948383,6768.594382266155,6172.778236787547,7332.541699911765,7497.63369382502,7373.061879319866,6583.517356794647,7197.737221891349,7845.552373011628,7414.087886477217,7146.577081206661,6820.695983957023,6972.422659669628,6997.768158900687,8034.187496518478,6864.146597709176,8530.394173642386,6285.020394498956,6727.77158526165,7316.784688695929,7828.183855915858,7147.663816965581,6894.249044360967,6825.941386240161,7374.872703474265,7357.673401853282,5967.699432338981,7897.1484379792655,7156.362922966139,6691.678654561287,7104.906166651263,7306.527172041893,6692.204838931615,6820.423842722991,6700.997944997175,6254.5288431383615,7836.193227177022,5634.630175345419,6344.529104987188
F12014,180029852.86461934,208752107.01537833,128944358.65712328,206219514.88300762,192487093.85400054,323487685.59294873,141402316.42434996,274442806.2294735,240284803.10453415,156097333.4848565,194937595.72122368,342986487.1213874,242323939.0143494,479230445.65002733,207539768.50708944,345160519.4681115,397429185.01964015,214554939.56849283,404945267.1859184,379182808.2143134,554004737.1473079,219466213.91509238,222665429.39849225,345351168.24685997,496711405.48955995,542516162.3733423,369738480.6410114,200349996.82951647,234160597.47433224,118299040.89011362,439323260.7184863,493589191.11773396,569125267.7609907,200146039.11993313,208813403.872637,189921175.44538233,225596314.19599217,427732523.1730721,569266883.8179033,427867927.92351913,254104467.13180342,349279848.19024575,318728907.138511,368199489.4958869,235841324.92943752,591763315.1641699,125832657.18202838,250467153.2145032,165744144.97030368,591967794.178088
F122014,1201.54210416412,1201.6396309352272,1202.2266704078206,1202.0967688989056,1202.452541104775,1202.0438459972013,1201.5537415767778,1201.2691616293407,1202.5117610519962,1202.2140097840454,1201.5781892562406,1203.3467752924346,1200.981549116597,1202.078039277045,1201.2274534535156,1202.335273284474,1202.3202692212615,1202.595625738618,1202.258274291813,1201.3681217048681,1202.5004061906736,1202.4620174235026,1201.8151304599285,1202.119992235612,1201.7677038828656,1201.212543729895,1201.1654807786078,1201.6056006150914,1202.762124224414,1203.6713007534177,1201.9794924694604,1201.558993627113,1201.4918303272607,1202.0602485255329,1201.4490700984195,1201.3106674761705,1202.1394265308188,1202.5156719448353,1201.3440783776239,1201.8095268313782,1202.4645923540543,1201.9561656080816,1201.7107637956253,1201.6636766646036,1201.5412813677092,1202.2375930262292,1201.9936000194211,1201.3439121585404,1201.9881293170495,1201.0177208048044
F132014,1302.4196263175968,1303.125910755738,1302.102615963412,1302.8347155745287,1302.8185898498418,1303.4026028358155,1303.6777218339735,1302.6191050289924,1302.9470011402288,1302.2444574191259,1303.537479094119,1302.4906393464425,1300.7011079396723,1300.7495503822277,1303.6174893552077,1303.0486900209507,1300.8181258899792,1303.2307151680125,1302.6070394056217,1303.1147843724257,1303.1052477864766,1303.7080885866367,1302.3336526926344,1303.5883963427987,1303.4586785381766,1303.671579838344,1303.1099000758377,1302.4783358731238,1302.3042383694394,1302.4781307210803,1302.7988989408666,1302.4604737199138,1302.6669790743708,1303.5361459934552,1303.5029356706914,1301.9857417352496,1303.3832060738257,1302.5936087686207,1301.7044907286083,1302.8156589578662,1302.3973406736711,1300.4807467765725,1303.3160231824575,1303.4942260019357,1303.5395648458052,1302.739859166819,1300.7629222647238,1303.375543705736,1301.6658388012763,1303.3546506613409
F142014,1438.39442589346,1439.34834719271,1447.5850775430745,1427.090844809714,1436.4720108398694,1437.5453513936563,1437.6464356125546,1425.8024550594994,1462.1173489857076,1443.9747491976975,1475.0065604772412,1430.8881625906797,1456.3263115512907,1443.6582197365055,1435.6518276078416,1453.7242354238604,1433.9458935566788,1441.9460401773035,1449.2750258921933,1425.232154323456,1459.3765596743083,1418.4363427107432,1459.7689727016777,1455.2357112057941,1465.726337480864,1447.9564334439283,1460.0608820634316,1471.9338711570708,1438.3500427542754,1440.3321518077203,1466.027410043805,1451.5948827435632,1455.7956377116682,1470.3990025792857,1451.3521499238175,1452.090218434066,1433.6510327208086,1442.1334594283442,1461.3397305982996,1457.29350982235,1447.9232172612083,1451.1010064547097,1481.1604580352423,1447.3978578613417,1413.2942630365453,1442.7568836359355,1466.6514120321908,1459.964124388808,1449.9273666924578,1433.8516582522825
F152014,10060.625160020107,2046.3730559064932,2469.509765997673,2035.006118069377,8933.748305213929,7605.294963553382,5056.600627175654,6504.262379421083,13174.979270957436,8522.739445941366,4039.6264244774834,3771.8654391328396,1725.4870339120955,4081.0188205650406,6509.159851389424,2454.8118909798036,9358.20180239385,1934.2456678079418,3005.184704772447,5976.996100353547,5251.891225214482,4814.555215608828,6811.287587732304,21878.07757507817,2400.1933919282465,6730.212129339008,2812.6790967144843,6794.015845723664,2612.460658580295,1801.8969466969359,3670.384729046504,1889.994375628011,28866.25206812851,3900.934683602963,3734.985396244807,11030.254503195307,3164.123994952632,1782.3389903105108,1915.0856457522643,5230.554041298142,8741.688740203628,6489.4496957369265,6234.2327321310295,2897.372670283179,14183.965238298664,8859.382543654188,20654.013182441166,2821.7923890093107,3502.974745833697,3752.2200921668455
F162014,1612.7108615379059,1612.3843874200093,1613.0071002467807,1612.9652500843742,1612.397322123285,1612.8603911034836,1613.2046144204282,1612.3863532002079,1612.9312469054219,1612.4904120167266,1612.5395939830848,1613.382470095369,1613.5930344882213,1612.1185031821346,1613.5863513340096,1613.0249665778776,1611.8746587044932,1613.2722233674826,1612.431861382102,1612.9623032411491,1613.6261846119185,1613.5285500717273,1612.6188294332285,1613.579094239631,1613.4372507233288,1613.4806792397465,1612.691284914984,1612.152268654961,1611.9137159873337,1613.025549950633,1612.4425563765856,1612.77812396944,1613.211778087512,1613.2197997768199,1613.5701533444146,1613.333095957753,1612.8799070760094,1612.0814675133222,1612.5712651187846,1613.2267449104597,1613.2000733634372,1613.3044717922112,1613.5540283988958,1612.7454565646522,1612.503967878346,1613.2268130746086,1613.3161102505292,1613.4889353668696,1611.8894446973593,1612.7733686048448
F172014,11238224.962510562,46776100.44273592,7819095.178869277,33926066.9880197,37344161.75628667,35312831.15070168,35223015.09632725,58991066.90980239,48935729.8020097,17517423.65301397,31379283.150357094,78139454.82421763,30143784.8940707,47157010.19614861,29826621.715875834,133150154.2263297,78130402.11328849,27990928.18452559,35582807.29588569,24965756.7664055,13859397.109797547,28539964.99141928,75352558.11093324,36051522.75848472,8653051.414954523,74850082.21589881,74472957.64838004,16315986.034157556,30211958.948113326,26699818.284951314,14840247.633548997,9971990.359175375,11093390.197680175,63134659.0427922,1731680.769536217,9979988.844581181,27213955.648389984,58608713.00416273,57993545.251684114,22826696.212438747,27050003.760186974,26300889.442089368,30259982.84030075,14597710.306077922,23682926.859413557,2472974.6593157686,30650026.268499337,30492535.162308883,11239312.205125041,40193390.870723575
F182014,604505.6243517045,1987241.7308922394,371228.9629928004,205054.136143173,3310529.2538160323,1265010.0414118506,567052.657620458,855286.7441915052,1950149.9538094332,2321108.590210953,471664.18967579154,409521.6186631637,567864.9653396363,4369631.741910886,2066839.1428204388,650615.3623301948,1096414.6802669186,1757406.8717070348,1755768.5628267862,2941456.7352172267,3055174.345943943,472699.42652617546,857101.7564076554,17422536.477201335,672176.6409154859,258786.92609307246,43482642.72586393,243016.42459595576,1396936.0289304315,6822999.225680854,523518.6050311625,2966552.0953082787,722991.9061145772,344879.1427660319,4249406.375114917,411468.1218673094,376669.86533850397,193265.1020085406,1192121.2398323976,2408280.245657596,1913037.6785415104,209416.92896084394,423757.8504038476,540683.9891956445,202186.8263637105,927386.3935700586,451774.9022179775,6252625.8864679895,182947.53230686596,272973.86363235005
