,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,60175261.10771585,927462944.9943138,1712869826.1105292,12401103.91091911,231327471.2353375,641901108.8411219,604585859.1616473,199695504.56990352,1188792366.92851,478248195.8371562,2037277357.757837,6697670626.510027,442341068.75207275,121337948.54307653,789185035.1547663,641017165.6846842,846159161.1606611,1059217931.2535027,12588248.815380936,1365975632.0828538,539301354.9290776,1489075490.0254986,412471421.32966304,339463656.75884193,22573030.66884507,721676428.0062237,20182104.681999877,1050550688.9059246,474165891.6166136,270922159.48684365,5663677.268610855,2160911390.13894,190171840.6902774,89769473.73459804,846387369.8445727,2822203724.9343452,48344293.58172348,87305639.0928951,11394027.479492301,6739507.766753975,555803020.8882439,8524358.274505168,8496626.166462034,1004507235.3332229,1166083871.7152376,309519887.2194961,535570722.8529102,3606749166.502658,17061315.03189954,1010586367.680135
F112017,17875793863.61677,20863067113.783646,21300970313.59222,16744128253.163786,21565769144.633347,19528497015.797066,13991558843.266802,27414236204.123444,14552755227.643366,20755504746.39383,23044151572.042427,25128954869.17799,16988717549.8899,19643117543.307514,20815375988.30218,14764178220.064453,22512530378.078094,21625102381.94819,15426647227.090996,23550155578.01504,13280720664.457888,18598404254.773815,20850422487.933105,21839902557.948166,25070603322.010098,18890082968.136227,22349087232.87109,19554914976.40409,22853587159.85741,16220153789.947815,16175067203.544989,26193496457.11375,24898041373.05553,21182489403.414715,28246333153.363712,17348494881.898514,19812803359.93166,19749659275.145744,20293400119.1681,17121980569.950743,12569579378.674265,18611057560.31212,26755750956.806114,22798378865.490604,23998448696.6748,13606160786.61985,13026019344.94395,16523675375.467775,20806440968.985138,27126374182.978447
F12017,41919338435.244095,62033012024.66102,57382259310.63541,61435366432.89119,84432331409.90091,80246332343.98401,58905358293.5979,78320779466.01396,64930723053.17905,81793869754.94928,85156498840.40973,67037020768.6619,79482300272.33621,77820734569.27528,59176803857.63624,58742639720.625175,74938756816.24872,70753836410.92084,75926920413.0931,75579508985.02524,80553497075.49428,48136291906.49751,69877676605.44275,74250028462.8353,59566412172.385,72344647900.93825,71027224894.07358,75215078025.13466,69743369944.37918,82790552363.38159,61215378049.09898,56555416029.446724,83054719828.58424,73458631475.84937,65886226791.532326,76163172986.53654,89459671439.14465,69296817220.22922,66008189661.596245,72706817347.92737,77384581347.3307,67386043232.28137,61274750325.61329,71309847634.28812,88555769931.93297,81694335878.69043,63673320561.10654,64741246984.25476,72025302249.72598,76951431064.5375
F122017,20754156356.815334,20521360413.119488,17137828104.36117,27013167218.287643,23904305807.77414,29617877797.64016,12786936092.58031,14854665925.561836,23650035776.307674,10473668617.72158,22225865223.030426,20226539796.424824,31503270234.305847,20346585292.65648,23788358120.843376,21753087392.186012,27061563313.818855,19875299835.342503,24122566083.469395,22934654149.0518,29674113683.09889,17660512163.10925,13780290281.063902,28082007854.122456,27212224028.49025,24371609463.37195,17344704848.016724,12057372751.343573,18280553155.96336,19574689476.499893,25922613700.363705,28987397185.570004,19324261314.227375,19486818772.86178,23192660173.75864,37765980024.823746,18506734331.75817,21092089579.676685,22560661716.759888,25249502721.518406,18508892652.398666,20708535242.882614,18152697341.88701,31191565375.33979,14724502136.558455,20698448087.63609,22302607576.11578,18741326328.49958,17586426445.851154,25342959463.445484
F132017,19387295.392878328,235911868.9313552,27608828.216916688,88724739.97107321,26282056.48603484,75346257.82108423,18796632.7778768,68458683.96543182,48562211.174186915,31928788.772077765,15501763.510099545,79714746.97221588,73979216.689433,25653737.467197362,61946869.593394496,46348896.98209537,49160499.406574555,13478974.339521743,183202606.79738742,49830437.629353404,151537279.1613632,15444956.866718892,33474997.383457974,37322228.26627844,80404856.87775278,34604653.575038105,76484125.99303792,46865596.5471267,36807709.37655062,50385990.59211776,76965700.68894275,4896219.434525678,7683769.602375408,30613542.435785733,45433965.17305375,31015787.18230182,136819967.88618314,269216174.30830574,48252248.67187915,107858509.33724298,22044559.955125645,17531806.99869688,155462482.39870146,7484213.916250265,35906744.80225007,48907405.314302355,75515440.42918417,7849455.158846707,37173807.101475,5655807.987786742
F142017,10855807617.072014,16376424923.188988,11076602776.885212,7965968068.862965,12643402815.416225,19984848213.5787,7476605925.158245,15194476700.263628,21155398077.59927,8299130267.349815,18693485661.867367,10548871628.259212,9598519621.893196,17424363461.654785,12701826879.3783,11177193277.542324,9866268238.819286,15767452856.182528,13704109656.170456,9616245483.59269,11920664588.0089,12115164933.911951,16111035534.125973,5598685743.618837,9415479753.645576,9909043997.267673,11716872823.90155,8567379925.243813,7920492448.732927,13204225999.197693,4883729354.198803,8972580596.3319,7896162225.755379,15811043026.835783,9186147523.020777,16034930536.702118,10844259831.289516,12007525939.063667,4717789461.701615,9556789931.72875,9404049393.605476,7607849259.276037,11322039188.853386,15334590476.353443,10124509415.830418,13522504930.80997,13496818204.94995,18928272462.67321,11351711413.495255,9675634044.794994
F152017,9762618952.747677,18125487739.389626,4986528609.508062,3422197093.378031,1378701393.9687498,28588790813.751972,8441823104.611114,15267603487.661583,16479577266.823463,1516317521.7124467,4003117320.425236,941799898.2129009,2403933410.9102163,14217533837.259756,15038741958.607944,10410837099.016369,1643429978.7361276,4454287811.465659,8302112962.579065,8692080997.611652,16696388717.849878,5109382423.172754,15191474028.421581,8587001146.639567,9507256968.474329,5120207823.61951,9378752167.138079,2829460034.765603,9866274513.953495,13649840638.353672,7134606039.911926,2156803262.7187867,1062600806.3581262,6477133432.245563,16928536790.303082,6100181659.751464,647607747.1091131,22729952648.178673,6371978580.214045,8482938162.481032,2030955525.4856641,8617699874.163635,2301276303.5137043,2286178964.8731666,7737356279.328299,7025309395.286752,10162564575.716242,13701842757.477417,2082861216.5738773,3826517457.1126485
F162017,308201343305242.75,568114066169.6914,391730700322970.06,10531416722704.316,14915079744830.912,123458916461230.48,7736560912909083.0,9161871780277.494,9113998839380214.0,1710414226470940.5,171072886137749.56,431214578072487.2,559362219968.202,125011198553525.8,46162779321169.38,8150150537731.461,503999993628.16797,9912682790061.176,5979276165998104.0,2167875230860319.0,45078586613643.664,262518580837822.88,140633885313705.64,379841320459467.56,199726179560223.53,664948940496.3624,520639774855.6418,206562727970910.8,1807090959004.4048,37943081391023.05,248282613108335.38,3404216258968712.0,14011710475473.236,515190112754841.94,571469814592130.5,178059240852372.72,3289026766748251.5,3212029059940.633,359754372382400.8,251351856420593.38,11186773406826.828,4765810870146.59,190924770927086.44,6119403723107914.0,28898739186945.02,583702392655.6718,234776037165984.0,2899325435164390.0,539361401446060.3,1341888447324216.5
F172017,67071058.228139386,48168773.94663158,10412382.470325407,84845166.20841645,84449736.88400872,15072110.932318047,19604497.91993714,85507628.23336463,7919185.124699431,20706598.92422916,30417054.641381845,35975262.51429519,12835471.247549806,66727546.654555194,50391701.81788199,23315214.516599447,7927828.368738463,187271520.53983426,15250426.977704227,95383715.43175182,31399339.944137495,79302985.76839444,9357793.388633229,3732308.7056355122,6846439.882954462,6937476.160727341,36837950.06878076,7295754.197800261,11242558.340456396,432572539.863446,54695418.68846586,33632788.00584146,87563398.45740661,47314291.83531435,19821992.361362655,16564219.076794473,96489299.39026076,90283612.86758816,40938698.989249416,84848494.06728537,81164370.16641425,66294262.72601709,376591571.2316042,13530871.951382842,16002045.523414427,200769862.97251022,83811563.08748162,909505.1863402207,3686050.7573631248,75050905.63801633
F182017,8551495982693176.0,2001472761066057.8,1.1422394803130978e+16,892520553081814.6,3183070224948267.5,3.0160402781857452e+16,2.0851257113424736e+16,7177522106056685.0,2346680389859123.0,4573010931181485.0,14832504177141.074,2727509329898640.5,1.5422048331819156e+16,2890588736722218.5,1.2386156537340214e+16,1755226008867088.0,8549834050251470.0,9100354961735828.0,1702130648850500.2,9783196058614788.0,407159457729650.7,40463852563954.82,169961399629580.5,8851426870894.732,397336921098852.06,521962926833528.2,602435200430210.4,900619735836550.4,3067928577992795.5,1354479661967633.8,4020222580303379.5,100175094064730.84,1257649917660596.8,4598193189896735.0,1.313090588352474e+16,1725884172012756.2,2464474525324868.0,150681161546511.88,1405830491047183.2,701799812301788.0,3623620157272226.0,2674385119060225.0,4917279332815492.0,318460097245556.44,28908346337296.215,916827727752231.9,8750441938839060.0,2.0024789373529976e+16,189228342794674.0,2.427262172501299e+16
