,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,5847097.782391811,22189879.69355003,9274209.831420006,159722525.489237,945802689.60827,24550783.017797925,175808031.66291484,591500514.9687511,148977481.0380646,179382234.50697538,14020563.612884825,438463384.32810014,139079105.88718608,33127747.000268873,131804440.48563145,1470197.7855422432,13804086.753221905,108085989.46349323,597521433.1941551,39127897.15007897,995948121.8259802,1895880419.0480177,164848493.5507271,214248179.90628508,421926065.78082573,23136891.26423052,11969549.698516922,1178434.4880312325,81313361.15776874,492971381.9195038,749843417.2855529,186740948.58519074,15452970.445897276,110656859.48591426,132579612.87264888,102301689.14087251,97357099.62068243,18879880.400077812,323860317.101281,96257176.68373671,73499516.24389766,85926477.99285765,54328555.62276199,24730225.32211636,9519817.388939412,841346315.7125176,90950857.96353807,28998840.051821373,86242179.12878643,7986988.183307763
F112017,5340322609.666201,7039529111.92618,8410274539.401485,18674285992.877907,13948757695.097248,7335549663.774005,10764838843.936872,13029730581.583696,14448546344.873386,4139117312.355441,7415273281.614994,4365598178.984707,12056856756.4632,14219526735.508678,5096150877.515392,12933997345.873236,10439507318.948517,11771548320.297686,10277254116.9782,11529451039.920975,3082250876.3868246,7216278879.950765,2809121838.3583827,1683681016.427023,5083973587.732288,11125361168.494587,7858921605.023865,16107986604.822575,14218042041.005695,15739035707.311745,12713899270.49123,7699982245.72081,22656517103.722923,5356714489.670631,11481384323.368153,11119958367.587343,7534578120.94713,11394600176.311665,11656151552.652662,7944569634.955361,5209913294.150901,14385654027.832912,12755448434.202314,11582481589.725426,16732372691.246202,8342375683.856277,10916402727.382366,14775764813.961878,16328479779.738758,12232081323.844288
F12017,55237440257.40353,49791758165.96108,76111518747.95375,48029354095.02752,51337089326.81042,47188276090.387375,65855286408.06945,49671814091.67815,49947243272.32694,50978172026.50929,49169042675.7625,59953973564.16657,50298082433.2258,52714904692.90681,60966111044.74506,73901092748.0011,60325510130.11785,55323978523.34753,69691450674.51106,52220723898.3297,65714969109.0741,57862858797.62312,71878125977.20258,49433309586.17691,64771141616.15306,60824615366.75615,58795913462.007454,60675346808.238075,74014784394.46617,55351770555.17139,54938877685.69037,48573845041.848885,55280691309.53222,69541701357.7363,32243287752.86104,37104370358.10993,58243305567.46741,55933004158.058464,49853074964.76014,67053048000.352264,65293520145.241135,67238485401.85778,49498160604.937065,60398714644.19719,51674949661.75745,55837528502.380684,45578083454.9182,43247950645.25177,63579231200.65455,67509179125.04363
F122017,15509030418.625462,21410627343.974857,9206555802.509224,8135698971.680672,22795883571.14036,17737491684.553898,7576230652.019217,22964727592.205566,5326857677.14432,12982211994.684301,13061341808.655169,12262881055.195967,23971037374.30165,13632236170.066246,25387126389.301,12330008556.048986,9752085940.208494,10644460623.969925,19587457318.429432,7450120001.527788,14938473851.161291,22714845561.99409,9845031604.025824,9084386390.516205,6846981011.893966,7870533534.70013,19093655728.35363,11522941063.140902,11462433341.12835,7043560307.211935,10573989284.562721,11742370237.408737,16832645998.525942,12291368694.074635,15934602963.801641,9984544914.898132,15633576467.825855,11342482179.95198,2972526905.786901,16186289510.638369,17702517395.53143,16633399828.330616,9669808526.947384,15068380079.042282,13726276626.505287,19488697482.1389,19992053396.600628,14432756896.711088,8254879432.503561,12392562540.995874
F132017,24348810.047027692,8075888.932375117,4825251.052384399,7268557.259056399,36991184.290793665,11920666.741119616,26331061.763518333,38768941.69971427,5048556.397118354,8406882.38430631,3280442.79262028,16533691.131699165,25692256.814995147,13764592.98451138,15756656.720292427,6963570.226153885,45137306.410925224,19987364.55136148,7901237.391019221,2207529.3129186053,14598170.713016607,3244640.8089948706,13465629.021830624,19020912.571381073,10059061.910126563,2729648.4346509534,40670430.04433662,88040410.66440836,4378534.771470385,10418065.069521125,38210557.01246229,50021154.7430332,38736888.84257236,12895158.662940266,39989883.570638604,44247292.57345473,22487180.896894235,27766521.511179443,41597611.59825527,14379389.362139616,42840394.05468961,16839407.51731923,70662339.26839267,15136788.294994414,543847.184753241,14099345.47766398,42922388.81278173,8900471.89113152,6869342.059738872,35886158.86973114
F142017,12118335180.275522,4967919819.745104,7815282251.163387,9222378707.842762,13870154467.763308,9158540446.381596,11985200835.93104,3920645335.016656,6765356407.489817,4030564053.2709208,4138111144.377252,1573842699.383409,7273743176.217237,6168559143.181894,7443213531.717604,1504528207.3073335,2557007521.4749126,7431716073.430809,5961992740.756098,4518704050.177525,3038631828.4804554,7119507985.27762,12122538575.660988,1859066014.5539834,10684719504.04507,3686491151.7111597,13015465584.160866,13692613278.127079,11648341853.507536,5602260345.243423,890402986.1538258,4321450089.069687,2494344348.6044893,2591643126.2413497,6922916008.175182,9335112614.773624,10914304946.302542,10347339929.415916,3459571607.0881114,3911628147.670275,6017362909.311293,13159487178.011936,10223554941.120274,1786648907.9462996,4807727136.634119,14703909452.509687,13868876601.822662,3230089743.1256924,8745101969.212242,7288230210.475349
F152017,5803706308.940807,426147132.60962903,8729466397.847286,5209284163.056165,95896682.14472449,2734239939.875213,2610033066.2960734,2155538375.110131,10894016081.436075,4813034682.79191,970802978.6915675,3790632514.358111,609551908.241372,8310457254.253624,182479642.63449043,1206168099.6471343,539102473.2883216,578890851.0684545,3516467925.7295322,3057289998.8341517,118652232.30903338,3340506869.169258,2865065124.7571254,2528073444.425381,1204490408.9285703,6072083140.004798,4332541877.851018,243890703.11251882,1264981544.7298126,12810323528.130384,2565258385.33067,2576053997.90631,2209140576.6412716,1766991928.0486617,1715168597.480263,4419514312.511188,1211483865.7923717,1222033899.720749,24406024.93414197,11328243589.833616,8076514695.63704,356823702.674156,7721721417.954198,3116482678.8470974,10053122794.63633,11369124612.791061,1473289626.3095849,7804211588.384221,1934154574.400737,1215854517.9205499
F162017,718888653625.7748,15238718225438.13,469934174004663.4,464159369257767.25,1833268720603801.8,112716052173618.86,823896760550505.6,82656240495.79218,1146365675022133.0,4697610320.730991,1834058757255825.5,3911799642517.41,115525549035984.08,140325461827041.61,15701401607090.543,2657628068495861.0,1.154596111216758e+16,1503237591953.5554,305856261043362.25,4072914143463.1943,995833053584.9833,35419118200016.055,2105109270509725.0,55708717338.59482,1587737686677608.0,208311006652.3643,179809764741966.16,2790127.1980141704,100793291852819.2,75047283337.007,2212568536848997.0,1646001485361861.5,5444079075905922.0,15814096091541.6,117425244431.56334,687459696414838.0,908077144746590.9,42553899662501.13,715562580200.8312,3631409921.538223,1214247516500.4314,936147175301.8622,6595613031081.032,108283009041576.81,90187944457238.95,4238099032067.253,701593076102316.9,199687605454921.06,60426658297.37155,676017077784.7097
F172017,1059791.9704296226,557894.6169272143,7351993.388421175,453859.603614298,1816337.7019505228,9892490.433433888,628682.3288488267,459586.2961488129,372928.98432899674,13421832.780685091,3455702.2972954987,24654354.685816593,1092192.5507570002,851590.5850497446,3689979.6355507504,2901231.38963002,511666.53229937,2015655.6199186512,3595242.537542853,3937920.4488814482,4940836.840763204,233796.90581918426,6908382.297123196,294953.18886988336,7681635.850692417,7163290.9109517,14577819.245826168,14153035.07848964,3508430.2804099615,547644.5797194587,8506693.227720004,174743.39538503953,10886262.17033802,2649630.681450176,3412250.227848613,396341.369146814,15227888.762458706,1736498.7532595312,146317.71506747283,504755.51690062927,4523145.173194345,6378387.230067732,14189341.89763699,4610747.833205071,7047010.335365324,4773984.340109863,3416851.447111744,578547.9798682191,12074662.92535586,10092771.836990938
F182017,1432824042775.9158,136913533608.44737,401550609118353.94,8724608858872481.0,172025347505949.1,1.1052510512607032e+16,80999129054.04337,1502152291051879.0,1138263790392.348,1291405375547.0056,2960511763033017.0,3514205877115395.5,34735738482521.117,9483383580127.234,1069707893864833.6,542095082681.0857,913303292915581.0,32796842132627.58,1542398104704.527,2997112737367.1562,4214701307090.6694,4043030485536963.5,3199598621969.6807,2368490996103213.5,6183679321691.029,19008420909481.945,1011466252856.6029,3948246808861345.0,42147954883905.11,3077961607490527.5,156029358200.56155,49170494376933.17,110432432271.07384,64897600666.00122,482769354115712.1,1.9911240187168068e+16,12245446594336.861,7450508056705965.0,8159543954853.881,1121011847987.0076,311212685574114.6,102331861180707.86,42021906643848.35,58330293075089.61,1411005499685303.5,2.740509349892152e+16,1171572648091623.5,2447172974894.4795,1691251740451115.8,1507390509144489.5
