,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,63719558.93327174,194174275.58252925,10395336.418118285,60626423.893031694,804146240.1071717,440688150.7616814,82454265.43784931,95238512.89846326,20059250.681827445,82911226.79343042,13881215.164926011,78258520.11753131,140855512.6546688,50277572.65933691,64218156.34765879,1452941998.0085914,663231109.791005,600592442.1354029,62130868.84971429,376183977.08270395,29492385.199230324,238868779.19398433,95315610.66345806,735394127.3012998,297471195.24514836,221846247.58234835,354888760.3079237,80616535.95584287,45152647.79575497,7862257.890090775,1824252.942623464,559967479.3976613,24309161.514369313,390451070.2198438,10331761.216593154,142185237.72178364,393267.3577764897,27045861.944255758,1011062778.7894322,159667645.9400268,21778112.604746886,29379279.799494084,137281669.31020302,72174955.87098104,75607198.29146072,61577451.664439835,368266425.4023026,402379555.4858052,31706387.52420428,191171104.43139818
F112017,881781483.8077714,118106448.17329082,957123547.849935,4429277056.275004,363143879.50705385,723099568.4365141,1288945596.445864,498824861.80466735,4296519262.761538,1627136291.2438018,397475339.3281905,105155662.38522509,4475979499.545144,309199049.29101837,303721445.9785072,3641257184.2669406,255257039.2526483,1359180257.2149048,232159502.1292433,3940003071.352342,351819897.95645094,580267766.0370551,2144565436.679199,1800471997.2408128,674634904.7027342,708737823.807337,7591246574.701768,3349908545.4683204,787881462.1516087,1030930157.9893861,4654979310.410422,8160104.884898153,2760781830.3447056,6245278284.139222,1778786483.0821586,627715874.5415146,154841114.3454926,1518583070.4401038,3047752183.031136,5575579326.289547,1870257785.73048,428531136.3926606,461481301.8355064,3487564173.827837,683648723.8487412,4253704541.622867,2098009259.8569307,727114123.657045,7382496589.957327,3160766596.939561
F12017,19212617919.67205,13449071705.823559,15833299311.219965,31280952380.160393,21829757386.868244,20349287766.932713,26673901891.077595,15730689263.518984,15656811946.118063,17543507444.01147,20711719599.468163,9237414211.943293,21623451797.1976,10907243445.296127,13014481326.15338,21827867259.848797,14481748675.814882,21985027015.979614,12334958217.20014,16451659961.498669,13732091277.756954,27508656471.039597,14724021760.332087,11925876250.439653,9915199872.607769,27386594271.75575,16607228780.141968,10738223186.822369,24300268063.087353,23000986480.759014,16790414214.503664,28122594195.31924,23401471761.79478,18209251130.026672,26692289916.64762,16669826211.9632,27445768425.403423,19160518224.273647,13890568396.924335,20261727577.933895,12870747286.638678,21679904587.630302,15810773305.654919,12400269223.351368,14826033711.83299,13213988634.09859,18746792487.63451,27154705971.586994,24034211945.850574,11975658256.790123
F122017,385491308.36313516,1085750054.1347258,2934006279.4344206,501144340.9817205,123711906.49494724,677597481.7505407,2239972752.542683,895729077.048237,754338311.0101624,7006658359.29896,124945668.08200604,2509811957.005289,188873272.09740272,362209329.1493947,5097263575.311629,2627996053.365486,2793884859.267801,2517653509.39683,2375539180.9206543,2510867367.23165,246174791.5401278,2555143693.5374336,421817198.9993042,6417241.982527754,1801728755.6208925,903856126.3854657,255198160.8509449,2450995250.7190433,1776680965.6127436,154803508.77417246,255202061.86120123,5478635673.447346,1716889928.658979,4161537722.3338323,430592481.36400366,2369389913.101254,2990425365.2975345,2849399921.5309415,8712449917.151264,69159056.337793,743957823.721451,6261154116.623145,1120795109.8777895,336828248.40505654,2077832294.0675828,5175963342.348448,1486357531.134608,318965108.9336479,698736965.0640934,2310293586.8133364
F132017,10915231.39862253,792166.4124442274,4558095.276392203,2349950.131633951,3989780.367644176,2786954.09893549,8839474.636693183,460271.8539772157,2110026.6780518456,19468735.75995803,4412186.645388878,14902722.748929331,930865.339760117,16906353.581527956,322454.5844830617,22855607.61467732,16274234.992587818,6741201.242091898,8921341.34749575,16490672.721012473,13646108.633388188,4041575.6593688373,2937172.3761560866,6559731.187852602,4399374.752346483,32994248.128534008,450271.18352157675,8388904.25122952,13964495.986059953,8616494.907655712,34273722.891468704,8201821.693789848,10827191.54553889,19017274.336095903,1495120.6817933333,3511535.550224125,8352787.453681799,7952184.051383622,13435334.498355273,657144.2608506893,10798529.925902843,2102037.433645497,20010397.907744903,6478901.197596802,24248238.273451615,4833164.020562735,1483271.6185461874,5722477.842674816,5979495.73790232,7829890.636847441
F142017,175024702.52255562,1063293050.6982806,4923985.083507133,76557690.22276515,1650178317.3825362,2249133677.7994294,388238171.01713014,868289224.5744796,887750209.0925411,1398198106.4184208,75994836.71002908,204026865.22623694,342667651.1160435,1891956785.2086232,216075381.13647103,186869061.48329058,808135248.5530589,1225137858.6139863,877613794.6829541,125454072.25175732,1478867557.8632503,14738222.8728794,96409741.36122774,90488734.36073068,175237697.91006976,25665708.844504826,1004634512.0839009,1638362664.9319515,1941126929.892503,272777276.59300625,28160006.844757594,1528390028.0111227,1552262495.5774212,848746447.8080657,47040491.505987756,53295064.34494117,681469494.9670616,88380566.9342141,206492634.00122294,328352651.34833467,13639926.54217214,111111296.1765751,200313609.24203464,1012824946.2699769,399102730.0363826,417033838.201084,33615259.98920924,705460636.3623948,96991322.2298707,1296935760.2447376
F152017,172117675.0350423,78256990.26024874,470543.5917061882,10917830.649749868,16723267.338260923,2292993.616215847,7267747.388611553,10185287.253650496,71754344.25163564,34939224.73903322,11396172.643491412,5608252.899179578,141607.23176364414,491199.44051738485,6085091.075290743,9240308.042146862,26217658.523335498,29082349.028411813,560636.2978379598,298221.17516683135,4329616.082420912,11114914.672388712,138644676.81270367,167917023.92944992,381450.12149997207,305741051.38951105,32965272.54266928,8791820.417681903,18756252.222032,327190706.3761167,1030562.9879177659,90552764.3337029,4532422.80663277,5782526.302185265,1014967.5216968606,60311289.91370348,8522523.930480938,768469.1312221912,136087961.85860538,50039581.679878116,5569592.589238694,126290851.35412383,18886215.902148567,184771268.54592443,9485058.31015201,135137527.80030563,4027250.8615474137,2763074868.2714067,3400558.34732137,4033037.8562705456
F162017,132874.16896130718,122750.51147390316,316768.13957387314,198769.48690385948,95546.63013284675,211043.4390774439,869041052.3082756,85435502.72987314,3062743096.6673913,57587.91855139793,3301461483.31474,85956.04237868113,81781.0586428732,827703569095.5839,164614.33860019332,980992516073.5327,140449.05266528565,21054.327618771567,239032091.65352267,43596037.107080795,87020.41898463342,150485.02478462586,302148.95224674034,319505.77614642977,50285.62795136381,152847.12242182458,3422913644.999802,70329.98430700033,46547.56694775428,16257.900278756748,121849.21836211685,99472.37585151555,233623.93556042446,13386926223811.863,56729097.50107156,134312.94687111548,179376.51008056122,3743268.3058902794,271492.6515160395,490147.25469528575,167440.42618051087,61848.116439376055,69356.0078330852,1976337.0909655073,408878001940.7507,63766.93237933086,132332.72952456726,119260.59102233365,493891723.7452656,56832.51721764341
F172017,595163.1186388194,8456423.595458586,11465677.650396928,1974150.3130174535,12332053.376734272,3306924.6222443096,983115.5517414412,4566576.562050195,4623488.886772323,22650067.218585763,2689669.552799633,1945533.7588238125,15511598.77572382,34914151.45914871,11539449.534087053,856557.1354133168,608854.5639717195,599735.3095814448,1921124.838382705,9948491.492558904,1205730.4095911225,32991481.647630453,1312902.1075844686,1816809.906006022,17935767.469367743,585270.7943071531,3546302.9507581703,13626858.996776288,5453748.678539397,8834598.16378108,226921.14763975693,2537903.4066392295,9507464.088576408,8867416.304427031,1929780.086703363,2533341.258742619,24622535.830758013,17126466.589998577,4682914.655897884,2648321.086060358,18730271.757080756,669158.5235092599,1088296.8167784994,5700203.008834687,16000701.475075666,2253981.5838966924,5693579.284288493,3853757.540375088,13942806.99538265,711334.7268078629
F182017,30484899585.76149,9645584197.362421,11873627542.070457,24987285055.180904,2691714350.465819,154211367446.0677,25525183654.35966,388379120.4512578,337053029232.4192,9488862602.604399,2645761888.713763,5140819528.283194,15822709343.291916,7487279578.9888735,17112333054.163614,550373030847.5406,193855706161.68268,1276498248.323193,78583020345.30406,52020162206.75405,1692879548.1881409,60298318942.53867,65976788682.99198,67875199959.65865,27915617087.587578,15813567655.807537,35817051107.563286,14354886657.82932,15315571120.942148,7924279497.134333,45007904463.456406,221562379856.63428,202210776677.69623,15471501494.071928,14401248932.270882,15710134773.947382,59306674236.471756,7183678588.93051,72459839350.93275,9519393946.86304,5499549677.929385,262783324042034.6,12409678296.248165,17907862624131.41,406705929010.77246,3629090087320.113,7563599427.729549,363884343.354358,494940427872.9777,47121639400.77702
