,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,5627133791.18038,2925076864.024916,747303046.2962774,3557677840.0560355,4531319767.130198,5095381414.960158,3033111649.184105,3884999180.902815,1560708614.4919925,1569140147.0769906,6827032792.527165,5061604547.209453,5590119612.476872,399769343.0862594,9074037179.157427,6824779352.313096,5497181831.2644205,1311118327.4125733,2665416486.8636117,4531895645.051662,10858331717.58175,5510174186.733175,3230198711.541348,4240466374.711532,6393940847.004841,2376725860.5042114,5899846452.524833,9269437172.459608,2304333054.8195724,5871242409.91199,2630464991.159603,6265873185.327559,4694881502.242053,3126933548.7396126,1525433239.0698528,4185087219.462934,2386129656.252776,1706205753.4609916,6603548410.197765,7714294495.074258,1418460604.1094775,2302728984.183274,5371173414.18585,5734591485.763552,4158086265.424021,2529359052.333239,6739851523.349882,3803347103.9598303,5185855453.483011,7311942659.803186
F112017,21981160535.946625,9816397124.15659,18807293909.719536,5758343741.292997,10581137580.177767,14830717683.169151,14657213663.918972,16675675421.289324,16132750049.734308,17206907626.66909,12764260920.192984,11986064362.813578,8451236085.407019,13304680151.476006,14947164089.304768,14226615492.96918,10537099852.308258,9500082054.061329,10763644796.400394,8001867290.682018,7890087938.438022,13057835380.690622,9281169099.299795,9746445844.696852,12487010984.81328,11127207426.531158,14223304858.661367,11994144847.977861,15457928528.774145,8860762267.281078,10871723829.289284,14899948846.346416,9589518548.076385,5430260879.4958515,11728294701.371416,12384195370.934383,6536976557.936698,9193324246.59649,14828495983.921492,14865879085.37461,12329421743.963362,12378126904.4981,12019620701.086555,5298227611.947711,12830386386.944735,7896303057.028368,14207355296.660654,11546069602.871752,10052375521.573505,10769796237.145508
F12017,109415266762.15527,109455617363.66258,108615396765.30934,82171486922.06767,67809591796.427635,95177081867.4361,89383028560.31844,77726889753.98651,101485714968.07391,97346532383.98663,74150833467.99037,93532371503.376,99789070713.25156,93475176497.29602,95859611526.44528,88328743161.69365,87853476572.43321,79557887265.74278,69891084450.73912,100471332245.25766,82975847946.849,88794161151.50294,89429724952.48463,95570269901.04506,86978100115.23924,98466685110.01878,94345370177.84888,70452661131.09116,102254725493.87216,104439493322.616,75763745050.51086,102703985789.61609,103478861396.59145,90057373772.27701,90377156782.45708,77375747696.43225,58719443257.594284,104649737912.89983,95079915873.09473,81905745442.34091,95570704599.46042,84559617956.8762,94005115859.09865,77275307524.28682,106712441779.9908,93597249456.49797,101137040467.04942,81184100742.74261,102223304863.6368,98495629977.2707
F122017,10959337319.65878,12483007054.987665,11022711898.186573,13782022083.733633,9233536088.940355,12764716250.705814,11591188319.343695,20628152574.76022,15618967049.664787,14673493892.788794,22983819849.186707,13580815027.196177,10701625339.678905,11725918897.998264,18531003306.973694,14599306120.306253,17260895479.93667,19101134988.924553,15893345010.652578,7701182486.992698,15511804530.615585,10874150622.675753,9803902216.680504,11570221442.267706,15438443659.04377,15962403722.23294,12998578296.11557,12491713050.357353,16144717392.665163,17049442914.583084,8884842299.311977,17669762075.95944,7310879719.216786,10229969881.725336,13768582140.185661,18751143430.013573,28218020838.57761,17061883128.161505,8535353218.217785,16700611802.134815,15219393764.336962,14641156417.553417,14143755185.143549,14910429498.568987,16142844222.964174,12917195299.954031,13815210325.734713,12175276099.132198,19918949383.777157,9925063177.610098
F132017,1465819.6569023784,1986583.532672908,19503463.065622423,1981273.73347805,9474816.711363915,40579138.14930091,3413129.16580261,17567612.83104726,3693639.7139153965,5306835.052423333,20109622.659330375,24308904.15863671,15767410.821954802,6196305.762789514,2459448.789182374,1565430.2214200431,14329013.91821842,1321540.3690072377,9894078.750597272,16714189.14100137,14033798.581067331,15504281.536144517,33099757.579458896,5316699.032969767,4862889.215083075,30229950.77936617,15759805.206878414,14243375.42436552,25309958.26669474,814152.8254349506,18468772.04445118,15701323.125230497,4175303.5206662733,7602422.692046636,35157527.56813414,5740128.894837078,8048942.181888133,5195252.90165131,5989961.914350984,10631594.772013346,1586726.8962285225,3933878.1001671627,24632498.147922892,3785393.735040786,7105159.397618474,1822639.4458485662,4466855.047102591,1343917.6538256798,10558235.705837075,2272679.11896049
F142017,5347453691.362876,4289714861.606678,9983707185.67435,5627822822.143298,4263036550.87643,2908589085.955034,9194215268.51597,5371661692.135648,8665771026.803656,1746458847.5941133,6655136194.6889305,4940983319.419357,9158194222.640251,5826591157.390495,4544426174.468094,5176489827.777573,7019930515.647026,5353876365.500603,2965880971.3753214,4315773456.838853,3795103675.618234,6372787219.772733,9740322724.489359,4994817348.928646,6157280207.630636,5912625891.111669,3127395443.892046,4778559562.764185,4643424869.49601,3387675230.493576,10131323086.177277,3236475511.0109777,5131512819.989004,3608978603.7867827,4723123622.82252,5438823789.936811,2233029094.837154,6757356137.683212,5918697074.240517,4096918018.4166207,5504955093.077853,7500840100.690362,5203913644.472726,6287739980.159664,2870518348.073842,2728439594.2399244,5876572530.311266,5384313160.725363,5244822123.661593,10769980822.783669
F152017,384837010.10184747,439644811.23101616,3728410633.3613973,250597970.46110836,2000401198.4266515,4263225404.0875673,602290794.9444801,239587642.09177962,329973513.83589894,6042010544.902863,2263969073.789251,4782799158.169295,510402130.9498128,69068848.93388249,603879659.2931266,1067298333.0999247,1007768945.5639912,188828396.56328154,4974913294.900906,3979980078.0460453,4422599120.119297,1246657463.8425655,377061219.99043906,152972898.6198801,2946030357.440304,555557709.7601467,1214737615.7316852,1642513811.4807134,1224113278.5856955,450375698.5826355,1187685204.2485948,6438212727.5228815,2059077067.430005,451520379.476214,4364464573.261203,2420282690.0453773,1405029287.0437706,506001487.8905087,1126250662.1954126,1874053122.8771966,1390567758.4839585,1737454262.087045,1633457763.2569153,337201121.15882593,249575265.83659482,995100601.129964,2782223609.640988,4741237881.686981,3919116329.12119,1342077502.624094
F162017,516774055989.11523,316384802506.7484,65488082477386.74,15042928342523.277,2779372770.598949,15959232538.483568,10892138497565.1,8017617612.605401,27725755469.646255,1822119027438.9395,2937250456988.2144,541139726842.4911,42210708.41293527,246750288544.05914,1929820849.8594387,39841390712688.24,147973216718.2366,3463253388651.4053,112532686491535.78,2229185720020.903,13538833.390009584,6830064055528.562,1750836511146.9736,94208090179.93077,19139858809046.633,2409142237896.0996,34979432308740.496,342171586848312.5,2955531941341.5825,21173019876.298485,279960133001.09314,799511176286.0577,1828239939.6490238,427702624269.8503,14511608689.616064,5897992232784.189,1255218081912.0916,165294242073.18045,119456496445771.47,67175020869643.78,785301.146361538,583774.6237057119,12096049258328.94,1971131023499.377,28337886434.663315,1661968799.2825894,69339949867.07137,82709824226314.06,640241602210.7427,22026577865.412548
F172017,2587416.137827401,16085415.490114331,53581081.32677716,27642790.31556723,64409067.36799689,7710797.000652983,6338142.875970765,3403148.972079387,18985386.83141514,7643125.830934429,29168099.88084352,25619626.856428012,32653960.588777736,3904996.1418146053,26023098.50338297,2812098.653062182,85271321.00326706,3136116.564937332,28281812.100516498,36420863.72454675,60554354.76086951,14390117.910355613,6040246.90066574,4369962.823627206,64607128.39684483,14705850.120326644,4491230.571483663,35045809.802080624,7789115.9037484955,87656827.47083022,3029339.6720660143,8466143.471316025,29920358.444164965,50652919.677232735,59119883.7968921,2792680.301337009,57432591.94869161,5207771.4601473445,9177532.482105546,7198007.171614417,8757953.795947693,27782573.182131078,3626894.7201915323,85639587.17167343,15599416.52029203,96544448.7666928,19282756.952434555,12571120.345623566,52976960.364760004,13190768.827436801
F182017,5628389210369.411,2221938539912.443,5145155752171.681,243971969753718.75,44473108617867.21,677605437991.7367,111692546396.49068,11267636825475.922,149904248746899.12,228101506470587.44,37192077187520.75,392141573605316.9,49000003429656.89,151767261766.1898,13233220949712.283,172725079037225.1,129652403554782.53,2798959328450.9424,13845370281405.855,1044263207254.4098,34099089375881.234,6465017929753.389,3963604208575.887,14257898392407.291,90454960362109.58,5462740667875.65,144393598360.89456,19651764191033.324,8863945262581.436,601669500967.3538,3106394182615.47,66320634131585.945,20519705065609.297,114493578095898.9,2289577218003.0063,22215479384518.426,13678532964298.13,9539662174139.338,563720566437.0345,4630825569041.02,30679926522400.445,10323548345796.756,1099307946063.7504,950222911667.9019,695796574116920.5,62948699401549.266,9480341837431.682,890889011328.498,19006035993999.293,181667412134911.25
F192017,20087.872394389527,18006.719741542216,18800.6211236181,20943.048747998193,16270.757079468007,16048.355155556055,21084.781578797792,7489.686289433182,22514.176774273285,15533.237363780057,21511.604928724093,24094.250897639966,22327.95435557873,11981.079542257303,17451.570286572154,18971.885402685384,17930.261039852354,19166.740636266855,19608.02056434907,21664.659575711805,16932.662826923508,29465.649014645678,19368.207681747426,14980.46535850282,13287.711768121837,17816.159090066976,16196.898286151665,22937.94565960832,20700.57142349706,16490.188304245366,20886.927674169852,19512.75238291147,21832.601718252125,21527.860504525474,13074.249818266024,18658.41980740818,18983.2761415105,16084.43706626959,22112.39413342024,18801.55621314976,22943.54940300693,17924.531308062906,14955.380408945804,19773.182566012576,17142.836367193493,20291.423895247677,18871.00569047203,21387.772746444858,16174.318974499249,14384.566372917843
F202017,99527.53939459054,93832.05829755371,86031.99442697698,81326.04413707303,81013.22908916733,36938.958498238106,43482.97601916955,52244.101165314176,72025.15239260787,27685.264876126494,82943.28629899652,23269.124558582764,43406.895214786105,47876.560923191064,20150.01398519709,26679.12201337399,30378.528616328567,51065.767400521945,75501.5411808267,74927.87324945223,80010.5948043125,27342.834174021395,71811.31311674972,35147.35038962956,55777.51031364732,79604.21613260488,27129.24687865301,91865.59028664531,39218.393025489524,27125.8810059919,83196.25908776361,47843.98350534368,36052.31157245153,80722.65372411266,31951.97645652561,70637.99488909212,80439.41720213923,92754.97682371394,80544.06615576506,48148.238990580154,30556.419281441416,26085.72407255834,47695.83310126647,40552.58298493431,86211.86153945285,39415.19104961615,60039.60094985599,26603.866061600347,52249.73829961425,20873.782530998968
F212017,5128.585070682926,4627.4067333342,5919.857926086179,4067.929669447716,5014.872933731706,5817.916971020218,4415.503323618721,4273.968082199217,5398.110169480984,6530.701085573268,6024.144072910092,5295.651338493095,4919.661666065599,6288.040705116171,5416.921265390576,4048.18060441089,4148.046163826543,5148.542979967282,4780.404963283026,4988.450367738657,4214.598471313627,5951.618311042602,3829.1271173040927,4003.1558132646005,5483.7905994148405,4020.9268504987986,4025.19269298388,4146.677750539566,5280.802421028593,4770.800834992774,5300.421911451036,4034.6585520281196,5489.456694540542,5698.33294761009,4202.226180229189,4971.16749478038,4370.693646961773,5616.408901705894,4492.418137668832,5173.738611943161,4302.908478548025,4653.2621902539395,5898.870962413484,5090.359334724838,5232.245563382532,4058.0133367408635,4285.684445215989,6142.1446485490005,4633.574735882223,5944.4273071520365
F22017,222954.39078785852,152592.59582794394,172982.6273046429,181402.1977231889,188304.66994919023,138233.8291813625,130848.78525701516,140289.28204839397,173649.5407891709,155851.10959424623,158359.4739155478,160952.59738401082,192843.86200964704,142961.93911167025,139498.1948719657,120298.87888022742,131738.25365458266,109765.71690262601,140681.8749846816,167468.2164567364,132429.19254808832,173277.36246343894,140004.498955846,164748.74211401807,151296.13803437026,167335.30023473714,176934.27291907553,168603.6578925569,177844.5301635922,112061.99231439836,180045.3307864857,196484.00264353587,170005.62590269666,177864.3499173054,164364.13538114761,134279.17360162004,193445.05610471257,118913.79150121188,175928.48595506267,168388.6754775784,169584.33666086302,125434.92714802935,143258.8751822341,175372.57202321387,110494.42392514422,176794.1142662473,183086.01293919227,180860.0772144247,158159.06458030132,153708.01034206952
F222017,45969.220026271774,75199.5356033131,92568.28951888216,82687.21612141459,56640.126051816005,48770.61866170785,81556.71068542749,73736.23457306302,92632.98372130081,59414.96361694493,95788.76690143513,77176.31016411773,73730.7300954055,83362.01489037841,53939.63608162746,82333.6138916769,81340.62278543095,93298.89732864372,66657.43137747739,69924.70071594568,49920.08840227549,67115.96936979727,70301.81947168488,66580.46228101829,86401.59119275284,73340.87980456583,40203.80783115523,86593.11255444092,52757.32279879491,69141.13857588322,75561.50865021639,40118.14743405744,79885.13658441948,49263.14916497655,65770.09566955487,44685.22808923178,54553.517634764605,65047.65585234907,66107.73762621699,52815.7863264735,88740.40605034148,57995.419531800544,62061.35635929982,65567.65224852943,93105.94580504141,71829.91730738692,78776.4125318812,81395.26310399901,79145.33738502853,40441.67347138091
F232017,31667.408053850213,40367.699454385096,52766.60004700519,51717.31825596458,58787.31234086948,41410.074711093075,37074.99077025924,63131.398030001765,35091.770650474784,45096.04762377966,35936.08188803251,23390.684677166813,30479.08208941966,62114.326056161284,28492.51903512363,39012.84188854961,32572.403896084543,29193.468440548764,37753.450414527106,52823.74536738645,31010.94423249703,53256.98466326753,55702.98483121624,45397.487002027956,33287.090029990504,44707.55978441322,61666.10822853997,49975.24698137191,32098.58612367903,51773.96761425065,27000.552483437492,26607.857499273527,50593.68516745344,40815.806738148356,47813.0811371508,36745.993098156556,32357.51348437684,28957.78830179552,23811.10798082416,48928.04082635376,28452.488000326844,36096.10664074088,52418.19029780005,48281.42480163528,29593.20021452192,26673.34770976579,30371.91988643763,29208.817577596103,24173.181189095558,32145.77149271918
F242017,9966.953195279833,13409.927137115392,14646.716607951188,12661.016670854571,10265.900510632979,7791.669722408984,13372.597096313964,9420.173387587007,10668.009852351557,12194.416333835019,21029.911239286106,13172.104834649706,11269.466510527222,13197.52457112328,15084.963070300837,11707.625079797055,12647.49562567826,9895.809731804176,13815.663947366995,10165.62154087134,11148.863466868137,11841.08697831643,10908.64052386835,9955.489870012825,13016.021983242388,13459.523315379598,12499.307434376677,13468.428195290657,13976.965197980624,9768.799495658455,14076.798044182098,18287.26979971464,11936.319797814602,10201.75676345404,10272.08934976774,16862.532070932375,13109.652126083402,10257.498311648493,12343.79798589222,13672.509808790814,12803.669029524137,8448.878427502565,9903.214172895043,13490.482138081741,13815.911690018389,11072.601456855622,12505.105684945478,13397.860157152316,14937.816535135973,11559.151199190543
