,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102017,298183548.23804003,362470016.99692076,117153647.13112518,662641089.9830399,467519782.282748,274807075.7047885,1179656353.8692102,57695236.76532723,447527976.4319579,118297621.20911187,1253233302.7635734,375367401.8326928,923215550.9805323,360625943.99146026,53909227.70305146,2137452674.1663177,332381482.89632386,618816165.3791128,1465471613.2633905,284366233.66371995,142310206.14553943,451797588.05681413,385033371.79246557,520562674.3165445,138961913.73161766,159660195.37932968,759655735.7696967,119450008.08536437,619811101.7946882,864548161.4869822,107706319.00328921,677094904.7650852,296774203.7184301,167735971.72353977,493981637.5529558,205812591.40384397,1680629783.6894035,28128786.455062073,892476196.4344327,651073269.7862613,77051722.5381497,546137867.5410234,271094048.8677804,435064324.50819296,228219514.0686351,83354757.23971714,855483588.4182065,267539631.18488416,1324147407.8745933,733905981.371939
F112017,4909214017.484366,1852199751.2336981,3472535318.2990704,3880667935.6724954,1013928176.8696655,2230241018.1226954,1656960910.4120955,2207849568.2326174,2829292189.950675,6038480371.290579,1320330110.9709504,2783806799.719248,2630427739.770334,2564620364.876484,2428378389.9170475,1238225772.120725,5243557154.500788,1048091571.8068997,8729562105.561443,4902501656.189626,6534437915.29031,5889235181.322759,3674007275.871858,520920326.79033184,1521583069.807322,11045994269.21329,3958314967.375456,1700348235.3557239,2549575715.739311,1963276932.7893543,2713628511.691534,2676913754.513805,2025374558.9177046,7185181315.937026,1614121866.2844877,2332623720.9926667,1210857792.6180682,2233195987.6585035,917668364.4360191,1648420091.1867287,1280911522.009221,4016158887.052195,3196685114.866501,4045079558.455884,1178653080.0295007,4569667464.8848715,2156804608.0818987,2296599309.203126,2681934662.378762,5191727184.318386
F12017,40898003640.574486,35768159677.60879,36777819996.52364,39335935852.78164,46600570321.07737,39193951567.016396,21812110247.827503,34970105697.73758,28144303551.039402,37770611664.790215,36668064189.899155,35995380171.59951,33305386247.272205,35218852473.73413,57163370165.92904,37009689763.57065,25673967774.531464,40733773747.80844,39077001537.40344,40425624958.90904,41825707954.55544,36356600630.730385,26354282294.592777,31723177782.749973,31947623646.34518,45886625183.52437,50437251738.085365,40705129745.03892,43286610408.13239,26539855420.05451,36518084698.78347,34594936464.12955,42361496556.87091,53701289639.62501,39101572900.530945,34725307939.07575,32119824751.39705,36233596211.093445,55279936560.6368,34949219693.60842,30773115886.300713,43530097455.27188,52657233795.37901,29368767885.508183,39223505809.40838,45059291426.18413,44661124645.21217,40976485466.6255,29694177992.478638,41722693745.19877
F122017,3342451598.438643,2835819515.9749045,1485826880.4018977,2895338985.146441,5966582561.1236,2227035815.813384,6024573748.921601,2509480935.8706326,2831196900.5616765,5124651280.525493,462073457.7303029,8145264979.223028,6224703030.894104,1198109711.364821,5814837576.679376,2508234632.4412603,3703709154.9080772,1318490762.0387568,4994321829.361168,1395029499.3773403,2248503032.13633,1065715916.4355377,4791069491.712158,2263101860.5885854,7857827609.50086,1409029827.7011194,3810597585.4870906,2289341713.305236,2767217403.5113034,2055863849.7877352,2620255394.321722,2457300131.4788713,8229782869.262838,3949910558.3843484,2574827534.5160723,8373714316.428489,1289261879.4510417,1827962934.88235,3696369657.6007037,2482844683.9697695,6500969762.134739,522823034.2555585,1159803395.2324812,11057654795.309023,3652623215.90496,1832584415.1542444,2329744833.4290686,2656841946.52466,1594611561.3652482,810830011.1501225
F132017,70444791.47698271,6979909.12655704,7061351.243499735,7012019.073665675,4923343.740606893,19598975.96299908,2156297.6839506193,25141984.361912634,2045837.5181196663,10235178.555664478,24801608.24839119,2883696.607891105,6517890.447567664,7724492.346506025,4252533.5066751605,16530832.884509759,4426896.971478139,15554797.618752802,1740177.114226692,2823147.8695937814,37593289.065200634,5057472.170013732,4538624.251663531,24598607.41269637,24101956.822859548,32737211.371142842,9740223.508651411,10110581.15427051,23070014.63883855,30239149.882549506,8085512.590680149,38915226.64836007,20145875.857792187,1603980.4783825339,7843095.315523503,17923425.14421058,5158763.041906108,21931167.329164743,3771049.2452512644,7387064.415676226,8705323.886237843,1623766.529382219,8002334.92778489,4565645.475151515,5132130.27306925,1347588.290269903,2872124.3923598407,1414265.0808790638,17429981.765875228,24539222.60656788
F142017,1479817248.1326828,923027588.6354084,1031246328.3204732,1007950416.3440745,1093716855.3710916,800574324.9090691,589580898.4087417,1752502120.3379135,815934376.3808167,667396245.3748877,286370770.5826559,612342868.2668602,586464635.6364684,1623421387.4546132,654855050.6177919,3209448096.909906,308074843.0142003,6048017248.827841,2924853239.9941893,2004712998.9678416,226196436.08755213,688379621.3901544,3241742917.986754,423338933.03437835,286235638.73815846,721527016.3924383,2094275706.0805063,7250754899.776081,898761153.4476732,1172484999.0392156,839042890.212515,1246261757.7031145,4297285094.3774395,3694885122.8559155,1077835594.2161977,411668241.07113606,2911624423.0160275,71673291.82939658,1709162840.6100478,990142520.1368387,1404007540.6528234,1357370559.0345106,843883876.501034,726302606.0296599,390658728.79629606,360977319.7647561,1506992954.6275878,392193323.33161765,755567506.4831576,456887699.3637195
F152017,447822333.4562678,46158978.48493184,1136288469.5117552,3181660856.842788,195337508.32909998,24642713.22086732,58827694.79425203,1620329201.800283,216002692.11392277,329028294.610088,219336425.59193373,14493194.387081541,21346850.780738514,764412499.224268,25074261.597618975,204235052.82562914,398991131.73496455,15357625.365175651,2496515618.97536,11559675.887262547,122614518.0266693,210971029.54468906,8826316.46593312,225541049.13305598,22040040.306783386,15274051.74887209,8665686.907486495,1982585982.0932329,68668824.72907744,37712603.546716504,32181751.6249215,62303256.991524965,140391455.1606316,345779150.6973064,740300425.1654903,56793891.628656246,607213619.150593,79542162.99794132,9390563.954848599,170751278.7713276,143026791.75621814,22329145.506987315,42741547.2472592,248218600.52545267,22462911.80249639,56922435.16136672,248538813.988908,23138225.626694165,221959377.4785835,31691980.02503722
F162017,82660925285.86156,18467926820.527046,43618185.07313526,686063795.3655478,54912270.380396165,33152259308.0446,1923406148968.944,35206036.59761058,3397007405313.4688,539163199185355.2,11875940340.607094,31333831347874.184,1106728.0039240874,383548525145.78577,27351368352.87523,129713323994781.67,2632083.3453698913,167847.25651030653,6681529246.109504,654165556347.0546,130000856.92855877,22981870.848977312,6542340.258445472,354736.17154046247,164332.09861248668,3051535887067.158,71534535.06407547,4612731041.2489395,1116567960.512722,165214.29463432406,149940140.41859248,77352675970.95274,2391768.1029343084,762302.6712279478,301083.1752987078,1036170587.9658071,12449054484.999523,4043704455.8917637,305848847452854.0,5233144643.923871,5590613305.493527,44595723271.08058,136413034.43248641,91152114531336.17,707833926419.9038,116497.17066382401,396725576.72206354,282344659.3956783,1531264929494.488,35203777.09106097
F172017,596433.5709375904,2580795.3881714353,926609.3736609479,1369810.3250696354,11524102.479400154,762217.2978670376,6232869.079168949,407777.96982222266,27559756.4941202,2664953.62027431,565841.0060101246,3898365.2550583053,2765243.778211435,2230797.13810122,2084944.1422287833,517703.7932018384,60321895.14175208,1926662.644303511,505661.68627253844,5965222.745037867,21408375.02086224,57980182.17903593,10859726.556703467,3540709.9028464993,869567.9793575454,17892838.317813776,2537392.727525573,20475816.03179654,2213935.8388268924,6164381.344412846,3985318.8076602104,3077858.855624707,1259617.647277915,370970.67635743244,16268387.166103322,16742774.286860907,2608189.798912783,2449656.014908095,1483957.846163539,8348251.572316537,953354.040393435,2922121.9861119706,3575953.817216576,3239966.3026830894,2290241.180722869,1549423.475141881,1677016.7025257698,2528740.783565215,51928804.29357837,6236375.783161676
F182017,2984747857404.8315,37221917624.84249,74282617453.5474,13368772133.027445,248203354546.96185,79951147668.9744,394754681796.9702,22351830821.185818,99358117213.91069,6060443013.338561,8625768196737.021,49609832039.004845,683092110092.295,3477871579618.9062,85482441789.74266,91529486363.59526,3032037478562.436,2483167640794.264,859904498783.9039,116350738288.9126,77395934095.35892,113148360078.34363,52905906036.75926,25227420830.709846,1643843908668.4387,171157631026.4495,36977304981.20273,187344379057.2583,16281178640.07854,61776058338.61883,3502359920241.4653,103858026616.84785,37162054327.90937,44613132039.20868,15414005801.922354,206875310547.5102,4682982909267.212,64470992287.979065,901402534124943.6,15053751855.596106,64616163896398.83,19991035032035.023,480358055950.1148,5261450539.87654,62236643585.154274,34112082862.07108,86376481282876.83,77511145358.35922,1407954841903.3428,246570992056420.53
