,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102020,4420.187549519662,3287.4797269993396,4548.222371511807,3703.2004519970187,3425.4210378399976,4801.71548528156,3392.691010324807,3973.43734218229,3429.944986327022,3289.31530393864,3488.7487859921916,3070.1249974177144,4526.870301641103,3214.768499623663,3181.996605085911,3998.2528426734543,3365.3383005364567,4555.006666853917,4503.128737016229,3115.6381891462497,3493.557326236495,3276.2120806498747,3219.879682554495,3111.068440535483,3326.135525451592,3443.940962612585,3279.1686346909355,4268.923857540102,3916.521745039841,4610.582354482507,3924.3203536107167,4981.9338912524345,3727.719630860587,3513.973309191889,4163.070211204976,3935.4500605094972,3702.99166874031,3489.9599140428745,3216.2869959136983,3809.8086621493467,3948.316041302256,3461.8504419296173,3276.91015748402,3633.1649856513664,3427.204203404675,3223.31184066857,3755.588630301195,3508.208640322356,3177.401572612975,3117.7481624676057
F12020,18277716405.877365,18218118002.054924,15753888980.41176,4154812383.5003395,18229641925.329075,6444607228.586468,13069502134.808754,11881563043.793201,18695384929.53262,14134479297.308,10873822120.983429,26265131537.118393,34175802745.673832,4518328563.7192545,14409872458.053806,10513253247.709225,3882136367.7026234,6032995178.3166895,18751820197.110493,15373307924.924343,55217265659.68239,17939108556.255314,6682170341.65985,21245426661.54596,5188329792.52309,10438086639.54965,15760458054.704563,21095685462.518887,12194957337.432127,7016975849.681399,9880244617.710007,7325691601.677911,13276641824.751429,8730347294.259424,22503322398.995415,17382438716.851032,9627970032.079226,25291031355.234985,9149284360.087708,11104031450.034826,13908190492.428207,17752385206.98762,9520404219.094955,5081756077.838456,7799951830.611638,10984027734.949797,2603562275.2600613,8629802936.620113,24758308469.2132,4982992983.805831
F202005,1068.1428886075407,1236.5744626974738,1192.2809323373253,1033.0095114299618,1147.46974671512,1041.814000484902,1071.774929868836,999.0858512176267,1145.4515847107496,993.9203744143939,1025.9293652158713,992.2708370253706,1185.1184739525258,1029.4876754049778,1095.6685385945436,1130.8116866857602,1136.5178373545243,1064.1626692024604,1043.1791290384294,1203.654516143363,1094.1391651252607,1073.2814247084054,1112.381701738458,1032.313242717736,1124.594892258387,1180.4883639273112,1067.9292473978583,982.7712242736402,1016.6266694597691,1086.8246243210367,1149.8500170017655,1262.0612238758092,1057.0666789939596,959.6815842260959,1012.8607815257122,1014.9006978666212,1020.8922948419124,1013.6433786555818,1227.7012265421386,1060.9110356744102,1186.3925039314377,1088.2680575816157,1024.918232396996,1133.6619770912237,1084.3116927209728,1116.639021608925,1167.6291605804145,1072.138989017431,1195.906533321409,1018.9261058429406
F202010,3838401264.9186573,714561641.4999207,2053107491.372786,1439439375.5062585,15297614786.43391,2453363859.797416,247892067.3608281,3917554244.26903,305964866.3920236,6595762590.133564,671521546.7071003,8502511001.503665,4266118084.932774,338746294.4144622,3039750698.7010217,1852472823.9684806,1577477339.4839323,12824368896.139418,10320675303.384205,2769530170.519658,1065437437.7328004,3974296587.384422,1826141394.1341708,5319397939.927532,4927765325.280891,1639895415.1129367,818194069.9875638,5576620826.398046,4413411807.635909,2425257013.9418163,1166018771.1266959,1064581492.4560597,3228240119.5846424,201521093.4701695,875535256.8585598,1907427618.0900795,1012702407.0138085,147795151.8827997,1858567767.2851768,1646028361.7861843,5992727590.874892,2512517510.5792737,3407627543.446898,9775715977.181602,3547007422.627034,15765066748.439713,114681132.03927939,9031660593.361252,268114560.12468854,100496798.89456017
F202013,615.0,614.095423410214,613.9574785145419,614.6590067026616,614.9999999998967,615.0,614.1158618297958,614.9999999998126,614.8237479896324,615.0,613.8120828059432,614.6869773728555,615.0,614.9966323779671,615.0,615.0,614.1798857408447,614.9998456266492,615.0,615.0,615.0,614.8948135937819,614.5026686761422,614.007687396155,615.0,614.5619648183028,615.0,614.3677864921962,615.0,615.0,614.5785600426265,615.0,615.0,614.7654964453186,614.6436437557413,615.0,614.9999935441016,614.5395744794869,614.7364155248539,615.0,615.0,615.0,615.0,615.0,614.19813807971,614.9979808358115,614.4572361386226,615.0,615.0,615.0
F202014,6070180956.555916,3147982.693357433,1390416006.4039948,2115963909.7443316,3625048995.4555507,7275174781.622055,1640706472.1644986,418055.7967863077,328977635.6382718,490077.9543630088,468721.217395452,653627.6360113204,7176221.656744458,25808230728.986687,5426784690.265319,1092288.818556217,144909.16716934196,882426.3733907263,219743.17155924853,7012529850.45329,129217028.21804598,982903829.8723747,847671.2357442619,1910943920.163385,2101708.7974774116,8475232076.338369,5925961781.438394,18738336281.99687,8031163.239872653,1555542195.5844061,261883.33842104062,13397331614.674017,27314247789.27828,41943582.86731338,1000930.3032620663,1948321358340.903,43402634932.738815,9147058.620660476,2248837.547169342,1843982431.0892856,259367.83490657562,20672226.273219787,629846940.814483,40377167.64941481,1823135176.2307684,167868182.758394,4802165245.608575,60320359799.02509,59527806518.53871,647991242.6741525
F202017,20303.970605123613,15136.4918260819,8368.054330505067,5772.2154028830755,10590.862242194205,42236.272360914896,14193.511328762957,4072.9261544533388,7298.893171909652,31324.7997761806,12035.814045996001,6184.710122670411,6510.145934251383,6355.091503980424,24209.114499822994,5720.718245093054,18871.490437003224,5109.406149970557,5117.046913284605,4195.179203519898,6836.843079885711,14842.206937688616,19686.171558725924,14126.495210129897,7416.744198158031,4774.182055549335,14225.284218539673,9004.134371169705,5426.275723059585,6327.601357077919,5676.993919902541,18768.86271487614,17834.11721885608,24546.144088204757,6913.682285097252,10436.20491820419,25234.032332357696,10917.55617705317,8182.1257140049165,6905.893564764773,24327.888775268155,18739.145993577942,9256.179569551186,17425.57928062578,5777.749553016418,11862.399759689444,23438.60927666897,15351.262608634657,29627.55296928386,18605.582599626334
F22020,5672.807647405738,4539.654610082242,5325.936242869231,5806.655890756385,4840.29638754362,3044.603902698047,5501.876998903226,5331.028246016331,4634.497733827298,4925.802398711272,2599.4295978149185,2566.506501678614,4590.622299205628,4311.9120484944,4671.069380039249,3779.5072509870006,4739.135705886016,3012.4168131019323,5207.523547173418,4512.3482995652885,1850.1539490645846,4099.196149432892,1748.3747759029065,5178.417185007049,397.4985183734516,3470.8146073766347,3542.8683867964173,6182.912878848786,2435.813068902831,5588.438452144863,5700.201665663437,4346.735037671773,5368.61468309964,6594.172151740209,4003.9618280160903,4740.090820277301,3396.158653128705,5287.254359742759,534.5850423744705,5851.549868724327,2581.5118684330646,3192.0125748333503,2577.716151035449,2952.417211121201,3123.878302640229,4173.131768924546,3382.9962826495066,5451.644397654498,5495.016533974474,6751.42821403958
F32020,66427.39532676329,830409.3078710772,652929.8121476382,671717.7563856402,181975.70144101983,830017.2413191948,545911.9100080597,618539.7101515126,491673.0470821853,920003.5227232748,513023.88098126795,623226.5337181505,282060.5663759114,722199.4119443648,1363893.6194599415,302390.04913674406,608735.8215326022,605947.1152122989,354742.4239389433,766721.2172958564,257143.36676118596,712765.6904501588,135348.3342798774,918592.5517798623,498257.7672318223,502055.7934721351,140891.31223439894,508175.610178737,513140.704892356,656905.6174279454,597532.2341062496,888529.6250090995,255683.39545174348,717831.2599022703,145660.3460407337,798508.6171762033,278597.38376898115,640311.4326928613,680353.9375836973,202137.79856456988,643076.606579995,256427.85932798198,272903.1801464064,574159.1700005339,716219.6390755302,574858.7923905064,666067.4851946969,872645.2618290633,158413.07251861517,624426.6118192208
F42020,2099.6231351695087,9388.604330512982,5142.378032331533,225736.85433533182,4768.144046037994,142441.66272214105,3170.4741636439644,16958.69417114863,8370.721814637558,169723.0387021343,15380.240336008428,142387.05586092497,3050.00774436675,113304.07964282048,15584.616096621075,2607.5525196422036,2166.075052164644,9831.686701095095,163457.47028952197,4105.399135804688,2352.3425459084374,11741.027046678308,12115.131702419181,49881.353073378545,2910.299645759197,33468.715527764085,78939.40368239007,6510.068159067431,14059.819833839621,8817.468455627537,2740.722084643622,8450.797675320668,22773.047920105164,267631.52207260573,7110.033276526334,12939.83677808554,5136.583068786616,2119.7556436455616,25449.55260323971,14012.508121590945,156248.5050996086,2137.7744964459503,7272.118768437555,7934.373465985323,305386.79820119194,12920.617972170481,16006.670275820947,10031.086985409202,22017.822878895717,26928.655259965162
