,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102020,4147.591990532650,4467.052708633770,4014.30844606549,3812.4046657014400,3488.4203754362100,4136.243597959960,3814.5220458923800,4059.2270150498600,3988.488794837850,3934.75225930326,3451.5174372537900,3744.9419447813700,3565.865021427470,3705.818004795520,5191.655896245010,3929.743751242950,3934.9196682686300,4169.697782153140,4309.395859208370,3918.7435603829300,4068.4836780654100,3316.604597478950,4221.453631925010,4068.9041306794700,4452.426977474600,4003.65269561659,3653.500107920890,3902.0441238565500,3893.31331863423,3333.089762974290,3947.031322824060,3790.7930744318300,3560.597798266880,3951.485530177180,3859.427025718420,4283.562157201340,3537.6290141188100,3865.1516651256700,3659.9257420877400,3841.422453138350,3615.5041476874500,4180.438217691500,3877.5463542299500,3607.6365104873200,3792.8063985305000,3739.853788703230,3839.8253688273200,3404.5327288441600,3515.38122043024,3723.6407147027100
F12020,19189636179.060900,11768323532.326000,14613734064.315400,24238737145.069600,16833659492.28840,27759193711.67210,14642215046.948500,15431081023.164000,16689931480.320200,17132945262.857800,9090330408.326370,16353165062.793200,17092867339.45600,11680845298.416600,16068805403.869100,31626473907.238500,17225052905.1654,18491718614.81710,20043303967.76740,20978371058.498900,33469089393.411100,15013421881.615000,5864142309.025360,16808472582.412300,18444863967.60570,23542327075.199600,18367735338.84320,22899138400.77690,13961795599.664400,23470193649.147000,23989613744.061100,17293589597.619700,20883047777.06340,13441192718.75480,19434998820.95010,15873913210.231500,10212734872.891200,14061101943.090300,8460294183.116420,24852999172.460000,8680071428.49478,14457640921.325500,11923333349.519700,11772163423.50470,28046029969.879200,18187246798.84980,17973850567.485300,17702952157.146200,9331983935.928670,14881533125.086000
F202005,1360.0851109294100,1390.37394905273,1187.5622785903600,1087.534340045210,1086.0286000057300,1230.2125332711400,1296.481434534570,1349.6208890328900,1145.3515620051900,1412.5859389287400,1362.0404881288100,1138.1521186932100,1319.855405404040,1303.5352065652800,1277.6077610940800,1415.9558568650600,1151.328631815520,1470.3902230459500,1095.8165844262400,1339.372248091980,1279.409441345920,1298.567559434750,1401.7506113102200,1279.4844527048500,1271.109642507000,1222.457905695510,1158.1445538635200,1319.05457614144,1156.2586361318300,1128.133046369280,1302.3280486107100,1391.491989178570,1348.406854795400,1205.6027164330500,1058.8810464702600,1129.2696722651400,1471.3726963703800,1026.017360167540,1302.3841017530900,1193.4960615445500,1252.6910737198100,1158.2371354788300,1309.4114566449200,1280.3842213699000,1485.3571207875800,1295.3218609116000,1190.454181089360,1403.527520100870,1360.0864051874100,1456.4440621577900
F202010,41048672871.68880,21018793615.734600,47665444306.585500,33438413209.22040,32375743500.924100,48600992198.02760,20453362135.795,32926252015.633400,21045828687.776700,43455111022.049200,29020151450.656500,28279722806.72540,32167298865.983700,34171552672.189000,31250271092.096500,26773566245.279300,30211328633.833600,36762074878.73980,36328281706.589700,46476230428.01670,34327190723.852800,37977836553.075000,45288338728.11880,25026270776.989000,32906612414.67470,14949881318.164900,18980088124.881200,50504672112.74910,35860646880.707300,57026601539.06060,23186828436.2762,21676262389.39060,18609852965.011000,47746924437.25430,38945694469.96200,41957456785.58940,21663822498.062400,44175119915.80140,28875562149.851700,24067129838.118600,53692709053.807500,19049044003.512400,60558789800.84350,31901420098.454200,34102417978.89380,23721054197.018000,45981513675.33260,27357177915.32850,23983182387.085700,28045877845.200900
F202013,614.9999133281620,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,614.997625370533,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,615.0,614.5372271222650,615.0,614.627156911911,615.0,615.0,615.0,614.9999999999490,615.0,615.0,615.0,615.0,615.0,614.9690110454220,615.0,615.0,615.0,615.0,615.0,614.5093788520080,615.0,615.0,615.0,615.0,615.0,615.0,614.9999999139040,615.0,615.0
F202014,4793474965.727700,6389048772633.09,249659001929.29800,4090434665463.7700,6153566861.904810,16595573287.421000,10663096863.04960,2607517673871.26,187367159.4301700,20074956830.37630,691026311575.9800,9954079976.746970,1086298781663.2100,291236360150.798,67630407193.69450,69555177517.80010,2073563196511.8900,148541725654.1240,74245382202.51900,4797167349.776650,102345056878.80700,495724558918.4340,281543577331.87400,2150948456.505520,2705646362.162610,2876549335978.190,15737945894.092700,66471377928.44670,41767266819143.7,49220935749.393000,2943616020.876930,6271970776741.700,5406346228.6298300,10754902113.23260,1086400198274.7100,2910448854381.9300,5097958163524.720,9867625453.364320,7221048534.480260,2298739476472.7700,19094836791.47540,8929565874.79054,1571482876.4476400,85975609835.6694,72742446245823.1,3344725368.008830,5269310844302.540,9728090330.392490,5140430992092.470,24728538447.94290
F202017,17255.191071994100,17424.977911833400,17238.66520388410,7427.928960714190,15044.769080687700,6623.746937947570,9078.731354179510,23919.405912990100,12503.653383984200,10002.797378289700,14130.897819953800,24863.547611535200,20042.949187243600,18146.411534938100,29587.1782969451,26172.80189445620,5671.824978560760,20303.52807750850,32469.578124921800,8077.801365920140,15602.887920001200,4662.020772145540,10854.999412934300,20282.53985598130,15229.959486102800,30128.75382055550,20738.642012896800,10713.063103649400,15120.736296342700,17884.424390618100,14187.693128988000,35005.770531376300,24864.99812967870,20957.982039236200,22781.166523451700,15566.552105685300,9923.293040557910,26740.60830200670,19690.220079571900,19226.820597493500,11913.113774440600,17499.413671484200,12628.769574728100,6368.971806265770,12171.55605844300,22736.797507162700,23201.856657956700,9444.906500623280,19950.969079346700,9826.995960475280
F22020,8113.761863430190,8082.504602881300,7055.677185820160,8000.421962665470,7986.906633532910,7282.014082384250,7729.389583202570,7433.596569345220,7262.740676364130,8914.301367860110,7063.135419743830,8477.002109211840,7196.488084987450,8390.794440198000,7857.350134341020,7779.89843953825,7458.764019916630,7309.470793355570,7849.100067176830,7243.524795779570,7936.711519636710,8455.1468372335,7345.405626041290,6864.132129414330,8519.103866156670,7040.653370507820,8608.380941673210,7580.369868049330,9184.225983051210,6737.2095493697900,7332.759020654760,8438.351682083060,7361.750088601960,7667.767210078930,7463.347401167350,7875.480702035770,7518.825241994860,7217.379811001440,7369.632594275540,6182.983839470060,7715.831665796130,7527.011638025630,8258.18666064502,7222.722102834510,8103.650946988400,8406.095927551660,8788.65327311376,7862.180284653020,6905.9267429480400,8392.191383999280
F32020,444414.17531731700,784718.1667256540,704604.9633796520,501899.59453482500,465294.0913016970,552467.3827426430,325919.008814877,692904.1105917630,753357.6015816620,365460.1986696010,467709.8329709990,404911.7157080000,730064.3412700320,566818.0536444270,961085.0661858960,670567.4880326450,513539.5572386180,692449.8547389490,559524.0617518940,749233.8742699930,569831.2770144460,713194.1872599910,710965.0999172720,643085.8203658630,507386.8595638110,627912.1382264,666270.32025838,430519.46068765700,677027.7970716420,385389.80708489900,582157.28781744,959083.6052435410,834144.109732701,748659.8495522800,437548.03289913500,464879.4445383230,614445.431217043,707055.3010033730,1105651.5041850500,615331.0536570940,403902.3895490970,436314.0368860840,835690.0987550610,467720.2260641630,743545.9028034450,472078.4097069680,732076.9649723770,746491.671264223,657241.8425353930,581947.2405797220
F42020,40910.62193856170,150675.00460465600,172932.10276011400,429895.8492349220,9614.082200162670,73412.24822915020,51512.35175032700,51421.17992147600,54428.70997261570,47541.94465512600,50469.220276164300,129496.3931634850,318743.4114844090,245486.71845224700,39801.921220324900,186967.24770127300,43516.90105364450,129092.71880177900,275956.36821602700,44729.97147070070,9463.295193173870,107187.8729678190,83111.49115909670,42594.746023363900,103307.71447233300,374217.8175802300,145896.82895552700,319006.0692845680,38975.275807811700,27502.888893172100,143121.58107634500,22878.13734791190,9695.199901179820,121458.97148931500,17273.849001257900,122374.55388127400,146068.86760656900,32178.906658476300,45363.42062451790,109153.40746532200,48883.5269569182,22851.312431230700,233346.89963371900,45411.99079095990,66233.95403769200,5641.197217907960,279263.00490741900,23718.970021688500,55184.445932620100,70039.2714350034
