,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50
F102022,5321.848841763083,5737.426371768546,2835.504739637114,2860.1316935044497,5432.524129938591,2823.704840787811,3135.721877363789,6446.552581914213,5976.047249135223,6280.802107826243,6269.1417118814425,6096.233337950354,5657.5117477276635,5504.537240822039,6016.333611411244,6655.261225829648,2862.680392432872,5182.353944838747,6679.799461986917,4959.417768677792,5521.579801344702,5631.043512673681,5753.350030485368,2840.0182792029027,6120.1622169094735,5595.750438587404,6642.492960840883,5415.627377422243,5541.218474467745,2854.7049191278575,5991.879910744381,6304.6084235961935,2839.666884989844,5297.433156736541,5957.569480755241,2930.3606361458924,6596.8792838102545,5865.078608163563,6448.985561207712,2848.177933875192,6239.663836962159,5019.186414603831,5543.935995689024,6720.149017492394,6046.9056296699,5413.802881315116,6480.782144294448,6684.563754229511,5963.3784086472015,7242.2759983406295
F112022,2627.96500904951,4306.395949051259,2657.7536861298395,4200.541637591177,2627.5006544694215,2619.2159862247336,2625.6102395404814,4235.831653229046,2634.9971861424888,2654.3328688762917,4278.78722267225,2670.625809866691,4470.199416129188,2622.927403034624,2618.9219278435203,4168.8845621132905,4312.1974986885325,2648.0354183926975,4237.093588716272,2625.056665981454,2667.352437998276,2644.885032306148,2693.117711080454,2657.2938608662944,2671.8413522295446,2641.5069450572764,4168.880915068825,2651.0992141722613,4159.562539467279,2644.474191468196,2628.447941237604,2628.395746560551,2640.371256562166,2627.7993268277933,2645.294741441623,2642.2169658729918,2649.4515122353378,4607.281405089487,2658.908274126342,2666.489755915444,2679.5993927974837,2683.6351975442035,4159.568630047276,4319.963331838286,4296.768518249834,2661.3177752374895,2638.515890694106,2638.6419216851677,2638.752040257356,2685.330275542103
F12022,2236.467498773751,2169.115420625376,3416.803927844535,3630.0953565435566,5386.694986612595,2076.4519111584495,1376.141048663105,2036.6270817620898,3058.532976080362,1775.768667283366,2260.617208239477,5277.390358989142,1399.3758791193243,1453.729561332394,2055.972209434218,1616.7409897455532,4909.591795308669,2491.709514611141,1359.9647937478962,2075.155593186033,2174.1484570103407,2361.8205324173414,2523.434838016681,3239.01136364261,3770.070667000062,2075.0825799902223,4141.566520993476,8838.697733326571,2753.7356975658167,2336.253620545272,1151.488551526289,2279.1688717514326,2202.8925651107897,2486.892607499069,3099.0191114651757,2189.6534319087323,3737.0475751385375,1410.4834805937753,1527.789604586086,3592.930714986749,992.9087430809764,3326.8756448906693,1338.0934444401053,6060.686408445734,3524.8198166803827,1578.1528129049082,2250.7574833730887,3412.6493513843848,1005.6949003437821,3180.6526462316488
F122022,2974.129152890275,3145.2821726736524,2998.0061107651204,3043.602708976247,2997.34637610144,3078.3737269206276,3008.5932935048145,3010.000162165857,3026.610588781172,3200.568048012383,3072.1856598019885,3082.7411419117943,3168.8725285796986,3042.6984382079945,3055.3329164969014,3199.1807641377327,3156.365928338477,3084.521286830061,3056.6733110873624,3238.447595891522,3178.1667055448697,3231.8420117319915,3000.0876646165993,3143.6149926847606,3039.503213645582,3157.0772177536064,3114.2191120105676,3079.7182268352985,2975.800805668798,3118.094561584517,3161.132725370426,3236.285251641149,3193.692010189354,3034.606338884081,3102.0235129838366,3095.437815785649,3168.0433277215357,2996.7716986709725,3058.3866489886923,3005.372287176137,3179.575777584771,3057.513004395668,3282.7872067246553,3282.5298397027527,3090.938997689772,2976.1326973169553,3166.075501221584,3108.680154810829,3031.994444564696,3133.349316780005
F22022,657.9156948776558,479.1822265466944,597.0306915343579,499.33739586356234,605.6283053157302,631.0311826102063,525.7538220435844,603.6094080929641,574.1039693119264,683.8159906919655,692.834483080358,626.0910571786769,561.7887868946806,539.8281746028956,702.781933308376,588.8725732003661,677.3550485063474,639.0375080446219,505.0963446596624,655.3152769212406,816.8896153579796,632.8212865552662,683.481234107945,618.5145220048703,489.15653633520236,528.6569428410983,600.6056691283823,675.2538842212317,550.2651862066446,603.16768640557,652.2369625265782,638.3983063208146,601.7288524292728,611.8527147391233,768.0331923157548,657.6464879668706,690.1770955205639,569.0190316742962,611.7137562684959,622.516868926801,569.5376613929128,581.8898332202293,601.878257196843,752.449385745585,720.1268536813878,542.3399788339609,645.766642032211,584.5835713607507,623.4214303070651,708.4118995315123
F32022,600.0199483981787,600.0396265443493,600.1005449658219,600.016322479858,600.0139431063039,600.0702824119729,600.0168138540729,600.0151059662539,600.0271122382588,600.0359703723037,600.022294312439,600.0192136526937,600.0402431575922,600.0619546231198,600.0276250953004,600.057408189764,600.0520687263938,600.0242096921558,600.0854948038111,600.0259941218484,600.0526255385611,600.008467241719,600.0152062939875,600.0299714499973,600.0278796083417,600.0241191700643,600.021220392971,600.0310809792275,600.0131204905184,600.0475785473513,600.03560318019,600.0223590133365,600.092212432731,600.0473603364578,600.0781389971493,600.0242304512536,600.0187735246163,600.0239070274529,600.0821157358906,600.0161845538038,600.0279729315507,600.0620517206439,600.0153109032887,600.0975669204147,600.0560772373508,600.071346073349,600.0260111359888,600.1095199953689,600.0185538435355,600.0200683130739
F42022,1108.5000033810966,1010.5069869583151,1151.437786716554,1064.3134076140714,1023.1476940936343,1122.5411896039195,1082.0790770810595,1045.6522151570923,997.7626802021603,965.1322623510325,978.7646930320172,971.9052932944732,1019.1131643493923,967.1802649536639,1038.5535205686592,953.6903414357373,898.6719106282989,1102.3652892799819,1064.6069802873321,1054.4760136175782,1067.8400463932246,1035.0384036712026,1013.850802549503,1189.5001147206056,1084.6297274662356,1043.8587531331032,1007.0345290825073,1023.3390611238788,1020.4113153506305,1180.0032923877293,984.5227238856082,1010.3402841966283,1026.287592495906,1292.889608571655,1062.9607037489654,1012.9504503316399,1061.996800303419,1116.5984040926437,1117.1316662380634,1008.1526029028383,1104.5957363512339,1010.7510555292237,952.6464855580491,1108.0136394280712,1212.6402044964539,1060.4894490823058,960.6909892849042,957.0052786393106,991.537743734714,1065.9392496600049
F52022,913.9385481676549,909.7880741492351,901.0341543055055,902.735947467686,904.5663508426276,907.3363141138003,903.3127753531041,903.0907321681531,902.6458201792914,904.404387590867,906.3371787748223,906.8214240056515,907.073996983421,913.9872229063574,904.8599391505903,906.7102872147163,904.1920493084413,910.5293321823586,905.2385722145881,902.3896821921826,907.2851050603781,911.2343643989416,911.8030273027827,910.2913459217274,909.5908031668226,908.1467183863739,905.1882664014158,908.4023905421366,904.6996451900258,903.9456406057495,901.0755094671474,905.1325460667099,905.1785522904717,907.8422660578425,902.9972099034187,905.0101847577972,902.3076793987163,905.892050088536,903.3888847340568,904.8794903165899,905.0381262784879,902.5411132774989,910.1614300245685,903.5819315523622,904.9933862775947,904.6440342512224,903.8146556342831,904.5420651360388,902.8802721570668,909.8087826611769
F62022,217630.96587694192,5788976.336834242,4381578.666397242,2141197.184601826,7645636.709909421,13338994.913102414,5914649.804692175,7811712.0821526,5902177.570582438,10455041.141888376,2052684.1362204058,1929505.091648872,417275.3265636802,1412160.512757492,83463185.71052486,3114215.1104085473,84615450.47408383,2284658.338285573,1402811.4462906313,6295801.925203958,837071.2649060987,14328134.70727233,12593709.787121594,2864195.7974161827,2902386.7039620564,1751991.6241670833,1160258.5974661205,991720.5585488455,4661850.730860025,7202246.297014824,181097.44044436736,5711286.863476789,7599555.358723396,3044922162.2607064,3883522.264054593,2608005.669328612,1856503.5103101314,3713565.929823014,3427051.482938795,5300411.346500581,4039815.564508775,8933280.123378685,2918173.745032853,293918.35525599745,2987500.627142374,924988.5709408473,3165572.8790575573,1845673.0499198653,5534992.037836731,6476937.399983658
F72022,2595.8887044157273,2483.808774359702,2220.3683965227237,3227.4109661392977,2912.716691292334,2367.1571895177667,3691.1779720951245,2387.0192167635946,2425.30073184272,2234.922134428709,3274.9394215201937,3162.462366668396,2815.586400094131,2931.879604521585,2330.81422892108,2294.309633295331,2334.876434597918,3096.085306736344,2685.4831704056032,2284.22149744697,3045.9912500521323,2508.7614395230376,2431.9070030487637,2564.2722535822845,3746.298694648778,2511.405440126351,2868.655921053405,3001.0740122503007,2328.243113311813,2755.4379690798364,2697.6885443625883,2164.1514145120436,2838.3212780892964,2700.227071520929,2467.188058042426,2612.3301608817383,2302.643235580128,2282.530707726829,2167.4742691319116,2800.75702912615,2598.3299736763356,2728.7418800808828,2352.678023438765,2422.724958921127,2399.5929782759363,2791.2027524422338,2811.339036635801,2680.4211675537917,2482.4707700561803,2216.192117171062
