Function,WOA_SA_Mean,WOA_SA_Std,GA_Mean,GA_Std,PSO_Mean,PSO_Std,GWO_Mean,GWO_Std,DA_Mean,DA_Std,BOA_Mean,BOA_Std,FOA_Mean,FOA_Std,GA_Rank,PSO_Rank,GWO_Rank,FOA_Rank,DA_Rank,BOA_Rank,WOA_SA_Rank
F102014,9279.025873,378.146148,-920.339699,626.811138,875.143957,1060.755156,2174.708804,1017.448956,4077.321108,1040.373171,4339.29788,736.595011,3413.716786,596.012407,1,2,3,4,5,6,7
F112014,9638.696654,373.49559,292.364111,689.965923,978.734438,1079.668793,2650.736921,1034.413312,3723.896608,927.548781,3983.69242,734.501576,3308.157066,497.662135,1,2,3,4,5,6,7
F12014,1303126597.9628,564906685.750006,211809984.790097,141237748.454012,124987073.911416,198492923.95293,1030632658.369168,406662746.27302,1108224410.465005,403976382.929678,2210296380.49892,1047166657.716719,520845022.765616,314160471.963867,2,1,4,3,5,7,6
F122014,1204.375416,0.686888,1201.366798,0.448267,1202.494125,0.716358,1203.531729,0.779928,1204.960041,1.297137,1204.368666,0.926895,1203.665596,0.597414,1,2,3,4,7,5,6
F132014,1309.102886,0.780232,1302.792394,0.495863,1301.220522,0.921283,1304.72396,0.72431,1305.493484,0.652213,1305.922339,0.748564,1305.635485,0.567378,2,1,3,5,4,6,7
F142014,1732.323225,48.358073,1433.510944,7.984489,1416.316913,14.277093,1462.601406,13.010032,1519.230277,22.203573,1538.669326,21.659173,1506.461701,18.902636,2,1,3,4,5,6,7
F152014,9291707.103102,4551751.156165,34168.458352,37072.212832,35016.092607,129742.624586,54270.229819,33325.786263,263498.12412,329003.762406,233736.385879,181950.332354,581110.87492,331123.761216,1,2,3,6,5,4,7
F162014,1613.789056,0.186785,1608.169831,0.357061,1608.457168,0.242017,1608.517784,0.398348,1609.193132,0.19801,1608.938284,0.26881,1608.811247,0.223239,1,2,3,4,6,5,7
F172014,76451118.424819,57515686.057519,13916278.383334,7650581.394812,2698711.346946,3214795.012073,34653024.936071,16461272.457508,58273960.033713,33900185.542977,55414559.169439,37147730.7135,11418978.596912,8632445.864282,3,1,4,2,6,5,7
F182014,2568614573.036493,1259505318.19778,171734551.03994,98769621.478239,3906437.568439,22422066.820628,391758088.458949,413563111.685344,1058920244.599831,794727993.868007,2483658990.557818,1775802976.182989,188907394.77476,193151087.475107,2,1,4,3,5,6,7
F192014,310796620.291164,345879510.565586,3281965.429319,3766783.437383,173465.286454,588062.742507,42262744.270379,104875630.076694,147190116.995953,138219548.78323,372504935.63717,486552618.243236,8893904.857173,14198332.524385,2,1,4,3,5,7,6
F202014,162042622151337.38,255570008576826.53,100823637987.31465,214596745941.72437,13175035094.16999,63478377436.31815,3638177238073.252,13204631282436.174,43119437035048.0,81576529220494.83,242469835708685.62,619296503591335.5,671674942602.9968,1117141947789.4614,2,1,4,3,5,7,6
F212014,645684780.005434,450826247.571369,62530469.503267,70947016.304481,20592025.325594,57294972.035078,564074031.533844,640551478.597378,813293031.273028,652388558.921612,1743685665.38091,1337820880.082768,129758505.609653,131476825.548744,2,1,4,3,6,7,5
F22014,105274244272.55705,13391799934.71749,10689156218.437502,2426412597.296278,4335854619.844318,3806626251.621852,23760310534.098194,4975278494.682903,31470019417.556293,6311178081.45324,36251441883.71255,5917183051.0446,34058928630.864857,6008915058.502884,2,1,3,5,4,6,7
F222014,2349518838403.0977,6082764897540.359,1692101019.545576,7318471967.575166,35780311.287247,250412955.82934,275660702818.4331,1266414000301.8796,7365349546630.666,19823948005536.96,43153717498079.21,92011972855305.45,5510372487.34437,29674426300.600494,2,1,4,3,6,7,5
F232014,3265.612003,228.264423,2639.011976,38.078593,2568.182599,36.229356,2511.13123,20.62582,2652.77575,90.87747,2689.201368,96.943947,2787.748179,73.016026,3,2,1,6,4,5,7
