Function,WOA_SA_Mean,WOA_SA_Std,GA_Mean,GA_Std,PSO_Mean,PSO_Std,GWO_Mean,GWO_Std,DA_Mean,DA_Std,BOA_Mean,BOA_Std,FOA_Mean,FOA_Std,PSO_Rank,GA_Rank,FOA_Rank,GWO_Rank,DA_Rank,BOA_Rank,WOA_SA_Rank
F102017,4433275055.36084,2301454114.361426,15746224.495693,23757772.528922,909185.811925,2163471.89608,224408818.742644,347258084.116378,798048111.22037,1128159001.643863,4191898123.442801,4292898359.941252,48659901.665489,77310861.059607,1,2,3,4,5,6,7
F112017,11894250214.438347,3378831097.900773,3592225147.074372,1253570459.741941,2097203204.639703,1959413341.998762,10419601992.88962,4384756255.938636,20088854867.23622,4010712751.553694,24263781684.62066,6089888897.762729,12653237484.41816,3480741671.878938,1,2,5,3,6,7,4
F12017,91001509201.01884,11723559134.670397,32770284801.823826,5167868341.709669,17125132117.032085,10178691063.661556,56933133362.45533,9340558689.160042,70766416811.39117,10002047117.650494,77815828489.11928,15481204289.125149,91221534468.89435,12021654259.539778,1,2,7,3,4,5,6
F122017,14272437575.92268,3958837877.027786,3016862588.728472,1007461364.3263,1667184119.356549,2166106234.134801,13660052854.063013,5210431614.213793,21852730988.566242,5358429222.801892,23845786738.977394,6533077625.507162,13261502101.11822,3784367002.733001,1,2,3,4,6,7,5
F132017,11100642.750319,9795793.916138,16638689.963137,12397341.299824,5378322.183267,6544408.149064,22417361.502368,18411822.019958,59508902.326377,55868536.190445,68098192.635764,67276398.925246,8539098.028657,7835505.908259,1,4,2,5,6,7,3
F142017,5498280771.394176,2099424895.41956,1446047791.15921,660525374.27061,285589326.716212,747550058.983771,7078302695.346738,3918073437.310467,11745699702.313213,3772085563.740529,13480924912.847008,4607841686.170314,6335977303.245335,2503606615.529114,1,2,4,5,6,7,3
F152017,1858461918.278504,1695670202.105002,271798532.771385,266196863.448535,56454170.800572,116044996.322394,3663468214.760538,3442214405.60952,8237569223.991386,6094609421.005382,16236122747.631268,13620563356.235338,2094399099.811687,1852946129.464728,1,2,4,5,6,7,3
F162017,19188770161860.35,53861021373538.83,124536949590.50441,295957446240.48517,134756012.183243,783770472.727513,751439940996002.2,1830426261343247.2,996805342276496.8,2043298091326158.8,1.1975942518466342e+16,1.8201341131465348e+16,12920664296062.443,56061731316389.97,1,2,3,5,6,7,4
F172017,27005974.39801,26032128.730291,7598530.124246,6417390.76789,4659059.503123,8067013.81632,5081151.847694,5276597.580344,61694825.017669,82112837.20524,426242027.669996,577914192.413564,6910821.832914,9832148.992393,1,4,3,2,6,7,5
F182017,59149082416164.88,119772934510189.75,1950234111023.157,7842339328381.914,215443078147.2236,550359391147.0487,2110569068225253.8,5019891613773665.0,5164705659297469.0,6811630049937708.0,2.0128313308445296e+16,4.5035308971674424e+16,48041246468721.17,80885648347227.16,1,2,3,5,6,7,4
F192017,18699.735722,3534.533033,8206.911762,2097.023385,6481.999796,2942.805281,11272.480409,3968.773033,21309.891829,8203.812569,18574.366346,6441.978628,17381.017267,3938.086114,1,2,4,3,7,5,6
F202017,55358.308803,24047.537524,28220.233638,8638.821443,13785.769762,8217.31118,54274.175151,9097.995966,62885.206445,12384.785001,68077.103515,11801.506521,54847.604685,19601.990464,1,2,4,3,6,7,5
F212017,4951.412021,721.304661,2725.195342,175.061417,2679.338967,525.325189,4730.376422,1037.825051,6065.711352,1655.979252,5936.773622,1107.769568,4948.46826,795.606675,1,2,4,3,7,6,5
