Function,WOA_SA_Mean,WOA_SA_Std,GA_Mean,GA_Std,PSO_Mean,PSO_Std,GWO_Mean,GWO_Std,DA_Mean,DA_Std,BOA_Mean,BOA_Std,FOA_Mean,FOA_Std,PSO_Rank,GA_Rank,GWO_Rank,DA_Rank,BOA_Rank,WOA_SA_Rank,FOA_Rank
F102020,13309.054921,2084.282712,5103.126312,764.556068,3684.653984,501.401623,7335.576348,1286.855369,9988.084999,2082.379891,10544.551998,2825.608035,13409.408551,2744.730848,1,2,3,4,5,6,7
F12020,88497828028.31415,14632035561.147844,34176928968.902412,5250342451.073514,13934540698.131191,8925668221.60313,56231845688.62623,9775014938.0436,73737636543.8072,13770329388.979523,79692194072.43549,15412057348.810497,88735287733.95117,14015702818.412209,1,2,3,4,5,6,7
F202005,1075.699376,71.840612,1160.298499,35.293255,1089.520735,73.63853,1431.533957,99.006815,1353.248842,116.950359,1571.513611,64.538617,1089.77786,62.470747,2,4,6,5,7,1,3
F202010,40066985322.84591,10099919418.994894,8946637532.797989,2632850227.995379,3572745721.641972,3785858900.212154,16711370118.466232,5074331293.621211,33712301447.132267,10858675845.675783,36521970710.53373,13596359016.64724,41651006362.40496,10632797437.90097,1,2,3,4,5,6,7
F202013,614.993952,0.031625,614.999121,0.006,614.771578,0.341185,614.995585,0.030857,615.0,0.0,615.0,0.0,614.983495,0.085131,1,5,4,6,7,3,2
F202014,362630439495102.9,492669198632746.6,7202619780942.705,15755778885058.432,45215049300.14857,272216094643.39938,305054264339721.75,551411341717358.6,2582301167552193.5,2571217948065552.0,1.0296616458864982e+16,1.7288355216950268e+16,322275068215914.6,510233534779869.0,1,2,3,6,7,5,4
F202017,49884.673267,20465.234834,27352.939858,10240.229308,13322.004326,8322.138511,52697.561256,9397.495459,62974.967433,10512.722519,69849.941672,10866.005644,54154.296807,23537.080035,1,2,4,6,7,3,5
F22020,9733.405701,386.228526,4915.165624,867.800277,4192.263938,1443.342375,5949.548513,1088.208012,7506.187328,1130.565014,7541.752628,821.413275,6254.824011,674.604103,1,2,3,5,6,7,4
F32020,2892388.528455,357032.81095,1085072.141958,216539.80366,547203.330039,260019.418057,1901726.64265,294936.224882,2387504.922614,406325.842986,2641491.78264,451543.120931,2875043.574563,378748.511905,1,2,3,4,5,7,6
F42020,3347901.086814,2077820.601129,163339.123235,133011.914161,44314.375823,72954.774316,1438092.612887,1024529.465671,4123246.11518,3488412.675883,5888199.516711,3462516.789502,3649717.367114,1603658.940464,1,2,3,6,7,4,5
F52020,94226505.832063,70250154.939891,44604801.092857,23943020.337998,8757639.112318,16800530.324739,353661045.749395,228729377.616736,286102695.142047,127150326.965075,640166932.677719,394044290.121628,114928930.790986,88218019.185156,1,2,6,5,7,3,4
F62020,280800773.979968,330771467.952701,54494955.52553,38785081.887969,5041058.272419,28830043.247174,325593964.382113,340990097.086801,1328908943.532465,1045303510.179782,2810057296.011664,2326583963.49718,203337908.105028,229509310.844708,1,2,5,6,7,4,3
F72020,886290118.748042,773355573.084723,197006844.790097,118637937.134462,177866000.443707,688659776.199942,1231197684.878421,1000602471.486112,2961255281.701012,1761454651.21805,8887874945.029345,7469706609.899341,900122337.387273,678113543.08686,1,2,5,6,7,3,4
F82020,4855.916732,881.580937,2690.76908,303.673307,2882.83219,550.185877,4726.418722,1031.974715,6028.389055,1200.018258,6836.119522,1242.571981,4989.559108,900.815956,2,1,3,6,7,4,5
F92020,42730.088163,11443.938237,19446.674289,2944.370038,13694.136128,3125.633592,33985.547865,3591.779918,38935.420915,3717.505376,41019.766925,3791.358625,43043.265741,11681.018538,1,2,3,4,5,6,7
