Function,GA_Mean,GA_Std,PSO_Mean,PSO_Std,GWO_Mean,GWO_Std,DA_Mean,DA_Std,BOA_Mean,BOA_Std,FOA_Mean,FOA_Std,PSO_Rank,GA_Rank,FOA_Rank,GWO_Rank,BOA_Rank,DA_Rank
F102022,3829.181849,632.598999,3518.224848,803.78591,4700.530291,868.570331,5727.930533,768.475761,5638.143989,691.340018,4294.066559,732.049744,1,2,3,4,5,6
F112022,3731.867537,888.630857,3663.839926,933.011043,9217.606756,3607.74568,9339.402003,6126.710253,21126.88028,9776.260319,6614.045484,2079.337205,1,2,3,4,6,5
F12022,40618.137756,8109.150714,16870.039647,10693.447177,45579.012333,13074.955506,62580.252249,23907.943179,749394.135017,3106394.964197,52253.079901,8501.782083,1,2,4,3,6,5
F122022,3193.286638,76.720327,3080.376755,118.809927,3666.744198,375.282281,3484.189186,343.177289,4609.046497,417.832794,3300.974956,180.623797,1,2,3,5,6,4
F22022,1270.07322,297.341658,672.193386,196.842344,2692.17273,922.536662,4497.121759,1356.976771,4656.711906,2220.539957,3871.781523,1194.681073,1,2,4,3,6,5
F32022,600.520354,0.130715,600.324862,0.276855,601.510118,0.341975,602.055861,0.278162,602.336271,0.382747,601.723963,0.342826,1,2,4,3,6,5
F42022,1124.19136,35.359619,1105.934634,78.613112,1099.191912,49.200923,1290.13972,74.093812,1191.100321,56.112424,1248.260747,51.643637,2,3,5,1,4,6
F52022,907.801633,2.121083,907.032777,3.538218,910.727211,3.556897,919.417081,8.232005,918.883561,7.123717,919.508422,3.358757,1,2,6,3,4,5
F62022,596474528.507034,248474633.285953,55157108.318127,262546385.521942,3094497981.017444,2490025594.685443,5463568536.498175,2505898109.996684,10041213378.67558,3800388335.888313,1718375107.913349,1178499779.516038,1,2,3,4,6,5
F72022,3109.530245,383.381095,2821.053719,518.126954,5226.923982,1782.143361,8704.949165,2955.913379,10865.894851,3436.033302,5272.598843,1456.85303,1,2,4,3,6,5
F82022,5013033086.333706,17864286777.092552,127314297.706034,887407302.103492,1851942695340.4119,8351061111270.718,5565782126574.604,10390793446375.037,676099361251681.0,2237932647764743.0,19457916706.85908,73758402188.10942,1,2,3,4,6,5
F92022,3349.527743,245.572053,3114.305647,469.690231,5822.914829,1580.964182,4805.487743,1255.134516,12305.178792,3334.690456,4174.289306,598.379785,1,2,3,5,6,4
