Function,WOA_SA_Mean,WOA_SA_Std,WOA_GA_Mean,WOA_GA_Std,WOA_PSO_Mean,WOA_PSO_Std,WOA_Cros_Mean,WOA_Cros_Std,WOA_Mut_Mean,WOA_Mut_Std,WOA_original_Mean,WOA_original_Std,WOA_GA_Rank,WOA_Cros_Rank,WOA_Mut_Rank,WOA_PSO_Rank,WOA_original_Rank,WOA_SA_Rank
F102014,9279.025873,378.146148,5420.901382,699.147725,7003.048299,729.454728,5475.128462,803.573092,6540.240521,633.112642,7940.328145,646.137622,1,2,3,4,5,6
F112014,9638.696654,373.49559,7299.214409,766.32016,7585.144397,667.862392,6981.554351,580.354338,7628.73757,625.140388,8509.677294,603.259658,2,1,4,3,5,6
F12014,1303126597.9628,564906685.750006,493344566.22558,214268205.750677,169315637.561248,77815570.939827,311340262.974542,137367587.544443,410520763.976397,157998368.481092,770808768.00007,291796967.479157,4,2,3,1,5,6
F122014,1204.375416,0.686888,1201.747028,0.548893,1202.448195,0.544521,1201.925971,0.557106,1202.739461,0.74281,1202.902356,0.75489,1,2,4,3,5,6
F132014,1309.102886,0.780232,1304.266841,0.781835,1301.052748,0.678893,1302.698381,0.845898,1304.079791,0.750909,1305.720064,0.911962,4,2,3,1,5,6
F142014,1732.323225,48.358073,1495.013426,28.913064,1422.739833,8.700969,1447.890281,14.532364,1480.277502,20.16761,1555.400308,32.849468,4,2,3,1,5,6
F152014,9291707.103102,4551751.156165,15724.73974,9918.51514,2986.267354,1396.409367,6289.900139,5415.927304,9113.810041,7143.937982,53244.471394,38539.578568,4,2,3,1,5,6
F162014,1613.789056,0.186785,1613.364881,0.4818,1613.038961,0.458079,1612.909898,0.50193,1613.148961,0.371932,1613.287461,0.391745,5,1,3,2,4,6
F172014,76451118.424819,57515686.057519,57739443.194744,44554769.578554,22132614.843511,18014074.767192,34977836.72325,24681056.454199,83949872.224802,62281228.710902,170725277.710394,89687615.143548,3,2,5,1,6,4
F182014,2568614573.036493,1259505318.19778,45257441.241549,84614199.855276,44322970.859713,169511377.452772,2579487.321901,6432144.058973,63639161.338243,88102646.549749,351474920.68997,409746839.315551,3,1,4,2,5,6
F192014,310796620.291164,345879510.565586,1841819.520742,5713108.816991,280267.725572,628950.906254,60072.117246,101343.94221,9466913.163519,29552069.936791,154923249.126265,225649710.809405,3,1,4,2,5,6
F202014,162042622151337.38,255570008576826.53,14165529617668.814,76433547461347.92,8269317967.307857,22763387305.829556,17517643193.291656,51691499210.304855,502428183024.71875,1417237494214.7869,11044346487002.082,21082792431875.277,5,2,3,1,4,6
F212014,645684780.005434,450826247.571369,67562509.999733,60451847.07964,36540526.213687,33411550.349606,29485558.069018,23188914.827206,115455420.147589,79656668.787395,323697048.513395,185772472.705779,3,1,4,2,5,6
F22014,105274244272.55705,13391799934.71749,32406239400.56424,8349347212.920782,6652421278.638414,3653031858.068752,17049522335.20731,5073418536.574065,21637516295.46388,7139296255.846698,50450349732.374374,11680246877.772993,4,2,3,1,5,6
F222014,2349518838403.0977,6082764897540.359,1868636168.206423,11446907755.697552,493498.222687,1824883.708009,7392.406088,2115.959073,79006793190.99603,357321469025.31116,3666973638245.6826,9194341265353.418,3,1,4,2,6,5
F232014,3265.612003,228.264423,2557.796784,16.140826,2547.922862,15.115002,2549.433007,3.675342,2531.862649,34.131506,2528.459376,40.066906,5,4,2,3,1,6
F242014,2932.837808,30.908559,2604.387075,10.725151,2600.210393,0.184092,2605.119553,8.883065,2600.816745,1.347945,2600.487337,0.518996,4,5,3,1,2,6
F252014,2836.107872,33.580114,2721.586075,30.67065,2705.733665,15.388557,2724.110634,23.079189,2701.638138,8.030759,2700.715138,5.005962,4,5,2,3,1,6
F262014,2726.774951,50.133242,2740.30352,48.171338,2732.75739,46.131369,2713.843792,44.163238,2750.166623,47.886012,2746.630195,45.499398,4,1,6,3,5,2
F272014,4225.540101,115.598538,4038.165471,151.239221,3970.213215,282.828953,3910.759903,209.243065,4063.046144,250.954072,4185.96672,215.48781,3,1,4,2,5,6
F282014,6924.207092,1061.248921,5514.725526,1338.107166,5709.129737,764.881674,5281.291568,873.413332,5925.06328,1093.301815,6859.500858,1507.456064,2,1,4,3,5,6
F292014,637606640.067484,313521397.505437,208163130.166152,194894747.38166,59244021.506631,89829947.846472,130073036.103685,88027870.920756,8252386.284192,40655688.872115,86733346.201048,280011781.067679,5,4,1,2,3,6
