Function,WOA_SA_Mean,WOA_SA_Std,WOA_GA_Mean,WOA_GA_Std,WOA_PSO_Mean,WOA_PSO_Std,WOA_Cros_Mean,WOA_Cros_Std,WOA_Mut_Mean,WOA_Mut_Std,WOA_original_Mean,WOA_original_Std,WOA_Cros_Rank,WOA_PSO_Rank,WOA_Mut_Rank,WOA_GA_Rank,WOA_original_Rank,WOA_SA_Rank
F102017,4433275055.36084,2301454114.361426,223649076.377668,292707124.866125,7029622.028884,9886570.188386,4954265.677515,7104762.258134,62370344.017071,69835197.704671,519519908.199138,449886041.351197,1,2,3,4,5,6
F112017,11894250214.438347,3378831097.900773,2002996848.579249,1969414036.497922,242575577.110914,175738606.986164,321828630.07381,527911476.555213,1073555215.658712,801776734.196222,3150215443.361482,2093838458.264886,2,1,3,4,5,6
F12017,91001509201.01884,11723559134.670397,18466642608.128117,5597636193.335878,4742998887.405052,1525911958.356854,10743611951.268255,3472760762.94382,17049533136.702358,5733093848.888155,38297146151.49525,7530189493.10161,2,1,3,4,5,6
F122017,14272437575.92268,3958837877.027786,1957016530.099672,1947730775.197646,169564184.973841,124691761.263659,127621058.35645,105863481.737014,1608305148.822786,1233509118.799274,3423734361.554375,2350856373.706136,1,2,3,4,5,6
F132017,11100642.750319,9795793.916138,9164744.52113,8003309.220944,3702113.224547,3487380.441635,4343628.673859,4072768.526638,10518107.546091,7862279.179961,13060808.718639,12992649.396063,2,1,4,3,6,5
F142017,5498280771.394176,2099424895.41956,622068938.862914,624215896.735067,53331242.368313,71987106.482796,33481053.290836,39594506.026894,363308236.715366,344465279.928333,1417368575.101485,1428597079.200809,1,2,3,4,5,6
F152017,1858461918.278504,1695670202.105002,102463989.707045,387443105.190639,2607230.723141,3349719.561522,4952711.782289,10047884.29432,56366560.709678,98944647.185011,348719971.345981,644596626.050889,2,1,3,4,5,6
F162017,19188770161860.35,53861021373538.83,312321717999.8572,1876950743869.0835,2865591.487607,11857790.307637,7321784.208863,50195610.496654,524647101722.4004,2083901405502.3323,22183967177514.1,87838272472529.97,2,1,4,3,6,5
F172017,27005974.39801,26032128.730291,7642508.692159,8293855.642726,1692430.38065,2306738.522565,2911857.92652,2788977.328329,8364448.119156,11447733.367091,8256951.397303,13735215.446664,2,1,5,3,4,6
F182017,59149082416164.88,119772934510189.75,5756027328161.744,36805805110689.62,6272443486.166293,10899605682.032244,4923099385.536489,5179008889.985282,18071545954129.5,74312089181042.4,27110972070807.203,130288975162556.12,1,2,4,3,5,6
F192017,18699.735722,3534.533033,6377.858168,1952.382443,6894.009113,1934.393644,5125.870381,1095.981576,9261.617513,2970.075483,12600.571274,3460.563204,1,3,4,2,5,6
F202017,55358.308803,24047.537524,20417.724228,9688.886772,6921.154108,3003.012555,9066.265394,5991.716338,15682.136883,7020.497801,33285.741899,11681.70073,2,1,3,4,5,6
F212017,4951.412021,721.304661,3051.901222,507.480719,2627.535109,190.546321,2652.523676,508.863638,3091.823076,467.414447,4816.236902,1191.775511,2,1,4,3,5,6
F22017,158853.695317,24654.538073,83020.668005,19536.681678,30219.823999,10624.174992,49335.635895,10340.10456,68827.038638,13210.238602,98131.676673,21905.999747,2,1,3,4,5,6
F222017,69239.043238,15346.998957,30107.351521,7877.03963,11122.484562,2388.448365,15751.668123,3899.214922,26743.869133,5968.155666,48323.742922,10996.854753,2,1,3,4,5,6
F232017,39776.041154,11194.605028,17466.456396,4005.604901,8084.141736,3349.421117,10028.09506,2831.819995,18446.588715,4328.619781,28792.814558,4912.899534,2,1,4,3,5,6
F242017,12387.632154,2364.93611,4153.682593,557.420697,3298.361157,185.10249,3482.877712,227.441129,3834.417167,323.86373,5310.253064,948.137184,2,1,3,4,5,6
F252017,7481.266123,2534.288692,3959.241802,348.501993,4377.738583,863.967128,3633.990685,199.963926,4330.527037,865.609641,6715.629593,2748.071824,1,4,3,2,5,6
F262017,3846.167369,345.795522,3594.570647,296.878181,3397.344692,161.823301,3345.157238,113.611109,3598.485538,275.079133,3784.324589,345.525219,1,2,4,3,5,6
F272017,6475.606218,1212.545466,3817.220691,261.987343,3581.561414,603.148146,3441.577844,122.78663,3946.112208,360.293983,4756.200143,766.51225,1,2,4,3,5,6
F282017,302624642264.6092,1141287796147.987,64165773710.62918,374460086712.6756,719599722.903858,1332047952.629603,762394070.793995,824752068.455231,5331974515.30936,6700959520.381847,507067902860.2441,1984157698831.9841,2,1,3,4,6,5
F292017,313927290534.5835,576029494992.2308,25827373636.90977,133068546206.37541,2761812789.271272,6403256964.78587,2136915190.438104,8336213459.594868,19189075073.778877,67184635118.72612,323841171762.1842,1664199295494.8489,1,2,3,4,6,5
F32017,27982.961479,6085.839273,3241.830267,1516.593972,1101.153594,388.31975,1291.790295,373.032637,2960.801386,1032.411563,7300.037344,2501.452456,2,1,3,4,5,6
F42017,108049.673188,13173.645915,31782.666296,9607.788391,11628.201649,4193.773029,16277.859668,5153.564312,25886.078118,7068.279149,52436.986061,9490.21658,2,1,3,4,5,6
F52017,500.066309,0.015511,500.014369,0.009038,500.016092,0.00966,500.01103,0.008456,500.016619,0.008533,500.032481,0.013526,1,3,4,2,5,6
F62017,3393545.638148,403097.295586,918974.244024,246334.438122,216968.539941,106604.796577,481633.311097,179652.298975,839711.645173,255854.052518,1653600.857288,423504.494232,2,1,3,4,5,6
F72017,1687.241487,91.053354,1338.071514,113.179215,1266.793473,85.19701,1233.421765,98.081338,1301.250838,97.256617,1420.018133,89.875604,1,2,3,4,5,6
F82017,866.132493,11.295831,823.110277,7.379244,819.774487,6.986314,819.657433,6.395114,821.134867,8.263735,830.866086,10.03373,1,2,3,4,5,6
F92017,9333.429589,401.59952,6600.419153,662.939207,7220.967784,939.644355,6547.755767,808.038556,7366.324299,675.749855,8028.559587,808.110232,1,3,4,2,5,6
