Function,WOA_SA_Mean,WOA_SA_Std,WOA_GA_Mean,WOA_GA_Std,WOA_PSO_Mean,WOA_PSO_Std,WOA_Cros_Mean,WOA_Cros_Std,WOA_Mut_Mean,WOA_Mut_Std,WOA_original_Mean,WOA_original_Std,WOA_PSO_Rank,WOA_Cros_Rank,WOA_Mut_Rank,WOA_GA_Rank,WOA_original_Rank,WOA_SA_Rank
F102020,13309.054921,2084.282712,4196.221272,508.433917,3358.125894,174.287268,3583.185854,264.997597,3885.859502,326.499814,5367.538246,601.548284,1,2,3,4,5,6
F12020,88497828028.31415,14632035561.147844,19519784565.40157,5417885595.834183,5671172274.79558,2432080200.744944,10057268500.082218,3121178960.178881,17405037256.39061,5764417588.596128,37419127472.04838,6032322708.931709,1,2,3,4,5,6
F202005,1075.699376,71.840612,1256.903701,104.141331,1077.469629,81.171051,1032.207745,61.906578,1271.108543,116.253713,1321.074585,123.100999,3,1,5,4,6,2
F202010,40066985322.84591,10099919418.994894,16711370118.466238,5074331293.621211,3572745721.64197,3785858900.212152,8946637532.797989,2632850227.995377,33712301447.132275,10858675845.67578,36521970710.53372,13596359016.647245,1,2,4,3,5,6
F202013,614.993952,0.031625,614.954067,0.124247,614.713393,0.332336,614.914736,0.17633,614.972806,0.105629,614.970587,0.116418,1,2,5,3,4,6
F202014,362630439495102.9,492669198632746.6,8130747349420.089,28769693388474.137,5410512317.854426,15042346677.806536,54601577345.829025,308617369694.3888,3291579297635.8545,11582585255934.068,27207245142096.05,82243325046271.77,1,2,3,4,5,6
F202017,49884.673267,20465.234834,18759.180105,9003.095181,7557.822213,3170.98074,9087.15266,4561.670106,17037.857365,7173.563144,33273.738866,13503.381879,1,2,3,4,5,6
F22020,9733.405701,386.228526,7284.740603,784.764446,7400.695788,804.026201,7085.188674,599.694276,7727.378215,610.39243,8410.952064,534.065656,3,1,4,2,5,6
F32020,2892388.528455,357032.81095,710144.257971,229847.496811,175115.289701,56041.909915,441925.976331,106120.629245,619689.806198,164293.030998,1158159.457112,257326.568823,1,2,3,4,5,6
F42020,3347901.086814,2077820.601129,102512.79628,123841.513258,9805.148036,12971.466131,23300.905154,23518.138127,108360.208717,101644.70193,536942.151786,328083.298291,1,2,4,3,5,6
F52020,94226505.832063,70250154.939891,12488658.197418,22462759.107146,12618866.85631,12913983.814556,6065778.331275,6233268.511463,37298837.992934,36238191.706237,124631855.629856,103533169.559474,3,1,4,2,6,5
F62020,280800773.979968,330771467.952701,2297143.027738,4290057.223237,282575.321558,396327.696913,257362.744891,305896.530195,6776576.924084,15823283.976444,45284041.366732,70525703.660816,2,1,4,3,5,6
F72020,886290118.748042,773355573.084723,53057589.168557,64470598.60984,16688018.200793,15405387.473674,9661418.502522,11796385.512445,87054554.852469,92397717.706661,245415317.553444,253975945.705721,2,1,4,3,5,6
F82020,4855.916732,881.580937,3189.403205,660.54608,2808.341982,522.179684,2678.265409,141.933608,3279.401787,589.937264,4469.452869,1078.268299,2,1,4,3,5,6
F92020,42730.088163,11443.938237,19082.065275,4420.835979,8137.840215,2823.467981,10317.108484,2122.309335,18431.436146,4313.820137,28419.61744,5196.51797,1,2,3,4,5,6
