Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F102020,WOA_SA,GA,0.0,Yes
F102020,WOA_SA,PSO,0.0,Yes
F102020,WOA_SA,GWO,0.0,Yes
F102020,WOA_SA,DA,0.0,Yes
F102020,WOA_SA,BOA,2e-05,Yes
F102020,WOA_SA,FOA,0.99237,No
F102020,GA,PSO,0.0,Yes
F102020,GA,GWO,0.0,Yes
F102020,GA,DA,0.0,Yes
F102020,GA,BOA,0.0,Yes
F102020,GA,FOA,0.0,Yes
F102020,PSO,GWO,0.0,Yes
F102020,PSO,DA,0.0,Yes
F102020,PSO,BOA,0.0,Yes
F102020,PSO,FOA,0.0,Yes
F102020,GWO,DA,0.0,Yes
F102020,GWO,BOA,0.0,Yes
F102020,GWO,FOA,0.0,Yes
F102020,DA,BOA,0.49639,No
F102020,DA,FOA,0.0,Yes
F102020,BOA,FOA,0.0,Yes
F12020,WOA_SA,GA,0.0,Yes
F12020,WOA_SA,PSO,0.0,Yes
F12020,WOA_SA,GWO,0.0,Yes
F12020,WOA_SA,DA,1e-05,Yes
F12020,WOA_SA,BOA,0.0028,Yes
F12020,WOA_SA,FOA,0.78139,No
F12020,GA,PSO,0.0,Yes
F12020,GA,GWO,0.0,Yes
F12020,GA,DA,0.0,Yes
F12020,GA,BOA,0.0,Yes
F12020,GA,FOA,0.0,Yes
F12020,PSO,GWO,0.0,Yes
F12020,PSO,DA,0.0,Yes
F12020,PSO,BOA,0.0,Yes
F12020,PSO,FOA,0.0,Yes
F12020,GWO,DA,0.0,Yes
F12020,GWO,BOA,0.0,Yes
F12020,GWO,FOA,0.0,Yes
F12020,DA,BOA,0.04094,Yes
F12020,DA,FOA,0.0,Yes
F12020,BOA,FOA,0.00404,Yes
F202005,WOA_SA,GA,0.0,Yes
F202005,WOA_SA,PSO,0.34721,No
F202005,WOA_SA,GWO,0.0,Yes
F202005,WOA_SA,DA,0.0,Yes
F202005,WOA_SA,BOA,0.0,Yes
F202005,WOA_SA,FOA,0.35217,No
F202005,GA,PSO,0.0,Yes
F202005,GA,GWO,0.0,Yes
F202005,GA,DA,0.0,Yes
F202005,GA,BOA,0.0,Yes
F202005,GA,FOA,0.0,Yes
F202005,PSO,GWO,0.0,Yes
F202005,PSO,DA,0.0,Yes
F202005,PSO,BOA,0.0,Yes
F202005,PSO,FOA,0.93138,No
F202005,GWO,DA,0.00354,Yes
F202005,GWO,BOA,0.0,Yes
F202005,GWO,FOA,0.0,Yes
F202005,DA,BOA,0.0,Yes
F202005,DA,FOA,0.0,Yes
F202005,BOA,FOA,0.0,Yes
F202010,WOA_SA,GA,0.0,Yes
F202010,WOA_SA,PSO,0.0,Yes
F202010,WOA_SA,GWO,0.0,Yes
F202010,WOA_SA,DA,0.00111,Yes
F202010,WOA_SA,BOA,0.0932,No
F202010,WOA_SA,FOA,0.52728,No
F202010,GA,PSO,0.0,Yes
F202010,GA,GWO,0.0,Yes
F202010,GA,DA,0.0,Yes
F202010,GA,BOA,0.0,Yes
F202010,GA,FOA,0.0,Yes
F202010,PSO,GWO,0.0,Yes
F202010,PSO,DA,0.0,Yes
F202010,PSO,BOA,0.0,Yes
F202010,PSO,FOA,0.0,Yes
F202010,GWO,DA,0.0,Yes
F202010,GWO,BOA,0.0,Yes
F202010,GWO,FOA,0.0,Yes
F202010,DA,BOA,0.66665,No
F202010,DA,FOA,0.0007,Yes
F202010,BOA,FOA,0.02238,Yes
F202013,WOA_SA,GA,0.0052,Yes
F202013,WOA_SA,PSO,0.00064,Yes
F202013,WOA_SA,GWO,0.00046,Yes
F202013,WOA_SA,DA,0.0,Yes
F202013,WOA_SA,BOA,0.0,Yes
F202013,WOA_SA,FOA,0.27924,No
F202013,GA,PSO,0.00021,Yes
F202013,GA,GWO,0.00484,Yes
F202013,GA,DA,7e-05,Yes
F202013,GA,BOA,0.0,Yes
F202013,GA,FOA,0.3505,No
F202013,PSO,GWO,2e-05,Yes
F202013,PSO,DA,1e-05,Yes
F202013,PSO,BOA,1e-05,Yes
F202013,PSO,FOA,0.0002,Yes
F202013,GWO,DA,0.16965,No
F202013,GWO,BOA,0.04136,Yes
F202013,GWO,FOA,0.01076,Yes
F202013,DA,BOA,0.3258,No
F202013,DA,FOA,1e-05,Yes
F202013,BOA,FOA,1e-05,Yes
F202014,WOA_SA,GA,0.0,Yes
F202014,WOA_SA,PSO,0.0,Yes
F202014,WOA_SA,GWO,0.39885,No
F202014,WOA_SA,DA,0.0,Yes
F202014,WOA_SA,BOA,0.0,Yes
F202014,WOA_SA,FOA,0.76673,No
F202014,GA,PSO,0.0,Yes
F202014,GA,GWO,0.0,Yes
F202014,GA,DA,0.0,Yes
F202014,GA,BOA,0.0,Yes
F202014,GA,FOA,0.0,Yes
F202014,PSO,GWO,0.0,Yes
F202014,PSO,DA,0.0,Yes
F202014,PSO,BOA,0.0,Yes
F202014,PSO,FOA,0.0,Yes
F202014,GWO,DA,0.0,Yes
F202014,GWO,BOA,0.0,Yes
F202014,GWO,FOA,0.77405,No
F202014,DA,BOA,0.01088,Yes
F202014,DA,FOA,0.0,Yes
F202014,BOA,FOA,0.0,Yes
F202017,WOA_SA,GA,0.0,Yes
F202017,WOA_SA,PSO,0.0,Yes
F202017,WOA_SA,GWO,0.23353,No
F202017,WOA_SA,DA,0.0001,Yes
F202017,WOA_SA,BOA,0.0,Yes
F202017,WOA_SA,FOA,0.17499,No
F202017,GA,PSO,0.0,Yes
F202017,GA,GWO,0.0,Yes
F202017,GA,DA,0.0,Yes
F202017,GA,BOA,0.0,Yes
F202017,GA,FOA,0.0,Yes
F202017,PSO,GWO,0.0,Yes
F202017,PSO,DA,0.0,Yes
F202017,PSO,BOA,0.0,Yes
F202017,PSO,FOA,0.0,Yes
F202017,GWO,DA,1e-05,Yes
F202017,GWO,BOA,0.0,Yes
F202017,GWO,FOA,0.7449,No
F202017,DA,BOA,0.00576,Yes
F202017,DA,FOA,0.03369,Yes
F202017,BOA,FOA,0.00026,Yes
F22020,WOA_SA,GA,0.0,Yes
F22020,WOA_SA,PSO,0.0,Yes
F22020,WOA_SA,GWO,0.0,Yes
F22020,WOA_SA,DA,0.0,Yes
F22020,WOA_SA,BOA,0.0,Yes
F22020,WOA_SA,FOA,0.0,Yes
F22020,GA,PSO,0.01369,Yes
F22020,GA,GWO,1e-05,Yes
F22020,GA,DA,0.0,Yes
F22020,GA,BOA,0.0,Yes
F22020,GA,FOA,0.0,Yes
F22020,PSO,GWO,0.0,Yes
F22020,PSO,DA,0.0,Yes
F22020,PSO,BOA,0.0,Yes
F22020,PSO,FOA,0.0,Yes
F22020,GWO,DA,0.0,Yes
F22020,GWO,BOA,0.0,Yes
F22020,GWO,FOA,0.18125,No
F22020,DA,BOA,0.96185,No
F22020,DA,FOA,0.0,Yes
F22020,BOA,FOA,0.0,Yes
F32020,WOA_SA,GA,0.0,Yes
F32020,WOA_SA,PSO,0.0,Yes
F32020,WOA_SA,GWO,0.0,Yes
F32020,WOA_SA,DA,0.0,Yes
F32020,WOA_SA,BOA,0.00594,Yes
F32020,WOA_SA,FOA,0.76673,No
F32020,GA,PSO,0.0,Yes
F32020,GA,GWO,0.0,Yes
F32020,GA,DA,0.0,Yes
F32020,GA,BOA,0.0,Yes
F32020,GA,FOA,0.0,Yes
F32020,PSO,GWO,0.0,Yes
F32020,PSO,DA,0.0,Yes
F32020,PSO,BOA,0.0,Yes
F32020,PSO,FOA,0.0,Yes
F32020,GWO,DA,0.0,Yes
F32020,GWO,BOA,0.0,Yes
F32020,GWO,FOA,0.0,Yes
F32020,DA,BOA,0.00418,Yes
F32020,DA,FOA,0.0,Yes
F32020,BOA,FOA,0.00996,Yes
F42020,WOA_SA,GA,0.0,Yes
