Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F102014,WOA_SA,WOA_GA,0.0,Yes
F102014,WOA_SA,WOA_PSO,0.0,Yes
F102014,WOA_SA,WOA_Cros,0.0,Yes
F102014,WOA_SA,WOA_Mut,0.0,Yes
F102014,WOA_SA,WOA_original,0.0,Yes
F102014,WOA_GA,WOA_PSO,0.0,Yes
F102014,WOA_GA,WOA_Cros,0.47238,No
F102014,WOA_GA,WOA_Mut,0.0,Yes
F102014,WOA_GA,WOA_original,0.0,Yes
F102014,WOA_PSO,WOA_Cros,0.0,Yes
F102014,WOA_PSO,WOA_Mut,0.00045,Yes
F102014,WOA_PSO,WOA_original,0.0,Yes
F102014,WOA_Cros,WOA_Mut,0.0,Yes
F102014,WOA_Cros,WOA_original,0.0,Yes
F102014,WOA_Mut,WOA_original,0.0,Yes
F112014,WOA_SA,WOA_GA,0.0,Yes
F112014,WOA_SA,WOA_PSO,0.0,Yes
F112014,WOA_SA,WOA_Cros,0.0,Yes
F112014,WOA_SA,WOA_Mut,0.0,Yes
F112014,WOA_SA,WOA_original,0.0,Yes
F112014,WOA_GA,WOA_PSO,0.05674,No
F112014,WOA_GA,WOA_Cros,0.02179,Yes
F112014,WOA_GA,WOA_Mut,0.02067,Yes
F112014,WOA_GA,WOA_original,0.0,Yes
F112014,WOA_PSO,WOA_Cros,1e-05,Yes
F112014,WOA_PSO,WOA_Mut,0.69475,No
F112014,WOA_PSO,WOA_original,0.0,Yes
F112014,WOA_Cros,WOA_Mut,3e-05,Yes
F112014,WOA_Cros,WOA_original,0.0,Yes
F112014,WOA_Mut,WOA_original,0.0,Yes
F12014,WOA_SA,WOA_GA,0.0,Yes
F12014,WOA_SA,WOA_PSO,0.0,Yes
F12014,WOA_SA,WOA_Cros,0.0,Yes
F12014,WOA_SA,WOA_Mut,0.0,Yes
F12014,WOA_SA,WOA_original,0.0,Yes
F12014,WOA_GA,WOA_PSO,0.0,Yes
F12014,WOA_GA,WOA_Cros,1e-05,Yes
F12014,WOA_GA,WOA_Mut,0.02012,Yes
F12014,WOA_GA,WOA_original,0.0,Yes
F12014,WOA_PSO,WOA_Cros,0.0,Yes
F12014,WOA_PSO,WOA_Mut,0.0,Yes
F12014,WOA_PSO,WOA_original,0.0,Yes
F12014,WOA_Cros,WOA_Mut,0.0022,Yes
F12014,WOA_Cros,WOA_original,0.0,Yes
F12014,WOA_Mut,WOA_original,0.0,Yes
F122014,WOA_SA,WOA_GA,0.0,Yes
F122014,WOA_SA,WOA_PSO,0.0,Yes
F122014,WOA_SA,WOA_Cros,0.0,Yes
F122014,WOA_SA,WOA_Mut,0.0,Yes
F122014,WOA_SA,WOA_original,0.0,Yes
F122014,WOA_GA,WOA_PSO,0.0,Yes
F122014,WOA_GA,WOA_Cros,0.22231,No
F122014,WOA_GA,WOA_Mut,0.0,Yes
F122014,WOA_GA,WOA_original,0.0,Yes
F122014,WOA_PSO,WOA_Cros,0.00016,Yes
F122014,WOA_PSO,WOA_Mut,0.03997,Yes
F122014,WOA_PSO,WOA_original,0.00594,Yes
F122014,WOA_Cros,WOA_Mut,0.0,Yes
F122014,WOA_Cros,WOA_original,0.0,Yes
F122014,WOA_Mut,WOA_original,0.35719,No
F132014,WOA_SA,WOA_GA,0.0,Yes
F132014,WOA_SA,WOA_PSO,0.0,Yes
F132014,WOA_SA,WOA_Cros,0.0,Yes
F132014,WOA_SA,WOA_Mut,0.0,Yes
F132014,WOA_SA,WOA_original,0.0,Yes
F132014,WOA_GA,WOA_PSO,0.0,Yes
F132014,WOA_GA,WOA_Cros,0.0,Yes
F132014,WOA_GA,WOA_Mut,0.20448,No
F132014,WOA_GA,WOA_original,0.0,Yes
F132014,WOA_PSO,WOA_Cros,0.0,Yes
F132014,WOA_PSO,WOA_Mut,0.0,Yes
F132014,WOA_PSO,WOA_original,0.0,Yes
F132014,WOA_Cros,WOA_Mut,0.0,Yes
F132014,WOA_Cros,WOA_original,0.0,Yes
F132014,WOA_Mut,WOA_original,0.0,Yes
F142014,WOA_SA,WOA_GA,0.0,Yes
F142014,WOA_SA,WOA_PSO,0.0,Yes
F142014,WOA_SA,WOA_Cros,0.0,Yes
F142014,WOA_SA,WOA_Mut,0.0,Yes
F142014,WOA_SA,WOA_original,0.0,Yes
F142014,WOA_GA,WOA_PSO,0.0,Yes
F142014,WOA_GA,WOA_Cros,0.0,Yes
F142014,WOA_GA,WOA_Mut,0.00261,Yes
F142014,WOA_GA,WOA_original,0.0,Yes
F142014,WOA_PSO,WOA_Cros,0.0,Yes
F142014,WOA_PSO,WOA_Mut,0.0,Yes
F142014,WOA_PSO,WOA_original,0.0,Yes
F142014,WOA_Cros,WOA_Mut,0.0,Yes
F142014,WOA_Cros,WOA_original,0.0,Yes
F142014,WOA_Mut,WOA_original,0.0,Yes
F152014,WOA_SA,WOA_GA,0.0,Yes
F152014,WOA_SA,WOA_PSO,0.0,Yes
F152014,WOA_SA,WOA_Cros,0.0,Yes
F152014,WOA_SA,WOA_Mut,0.0,Yes
F152014,WOA_SA,WOA_original,0.0,Yes
F152014,WOA_GA,WOA_PSO,0.0,Yes
F152014,WOA_GA,WOA_Cros,0.0,Yes
F152014,WOA_GA,WOA_Mut,0.00035,Yes
F152014,WOA_GA,WOA_original,0.0,Yes
F152014,WOA_PSO,WOA_Cros,1e-05,Yes
F152014,WOA_PSO,WOA_Mut,0.0,Yes
F152014,WOA_PSO,WOA_original,0.0,Yes
F152014,WOA_Cros,WOA_Mut,0.00673,Yes
F152014,WOA_Cros,WOA_original,0.0,Yes
F152014,WOA_Mut,WOA_original,0.0,Yes
F162014,WOA_SA,WOA_GA,0.0,Yes
F162014,WOA_SA,WOA_PSO,0.0,Yes
F162014,WOA_SA,WOA_Cros,0.0,Yes
F162014,WOA_SA,WOA_Mut,0.0,Yes
F162014,WOA_SA,WOA_original,0.0,Yes
F162014,WOA_GA,WOA_PSO,0.00191,Yes
F162014,WOA_GA,WOA_Cros,5e-05,Yes
F162014,WOA_GA,WOA_Mut,0.00859,Yes
F162014,WOA_GA,WOA_original,0.39349,No
F162014,WOA_PSO,WOA_Cros,0.21505,No
F162014,WOA_PSO,WOA_Mut,0.22231,No
F162014,WOA_PSO,WOA_original,0.00228,Yes
F162014,WOA_Cros,WOA_Mut,0.02297,Yes
F162014,WOA_Cros,WOA_original,0.00073,Yes
F162014,WOA_Mut,WOA_original,0.08402,No
F172014,WOA_SA,WOA_GA,0.0932,No
F172014,WOA_SA,WOA_PSO,0.0,Yes
F172014,WOA_SA,WOA_Cros,6e-05,Yes
F172014,WOA_SA,WOA_Mut,0.64588,No
F172014,WOA_SA,WOA_original,0.0,Yes
F172014,WOA_GA,WOA_PSO,1e-05,Yes
F172014,WOA_GA,WOA_Cros,0.00391,Yes
F172014,WOA_GA,WOA_Mut,0.05547,No
F172014,WOA_GA,WOA_original,0.0,Yes
F172014,WOA_PSO,WOA_Cros,0.00738,Yes
F172014,WOA_PSO,WOA_Mut,0.0,Yes
F172014,WOA_PSO,WOA_original,0.0,Yes
F172014,WOA_Cros,WOA_Mut,0.0,Yes
F172014,WOA_Cros,WOA_original,0.0,Yes
F172014,WOA_Mut,WOA_original,0.0,Yes
F182014,WOA_SA,WOA_GA,0.0,Yes
F182014,WOA_SA,WOA_PSO,0.0,Yes
F182014,WOA_SA,WOA_Cros,0.0,Yes
F182014,WOA_SA,WOA_Mut,0.0,Yes
F182014,WOA_SA,WOA_original,0.0,Yes
F182014,WOA_GA,WOA_PSO,0.04294,Yes
F182014,WOA_GA,WOA_Cros,0.0,Yes
F182014,WOA_GA,WOA_Mut,0.07556,No
